,Trajectory,Drug,Disease list,Disease Consensus Name List
983,270,Mometasone,"['A49', 'K29', 'K50', 'K51', 'K75', 'D73', 'E61', 'L50', 'N62']","['bacterial infection of site', 'gastritis and duodenitis', ""crohn's disease [regional enteritis]"", 'ulcerative colitis', 'inflammatory liver diseases', 'diseases of spleen', 'deficiency of nutrient elements', 'urticaria', 'hypertrophy of breast']"
984,451,Colchicine,"['I31', 'I20', 'I21']","['diseases of pericardium', 'angina pectoris', 'acute myocardial infarction']"
985,441,Mirabegron,"['N30', 'K63', 'C71', 'D36', 'D43']","['cystitis', 'diseases of intestine', 'malignant neoplasm of brain', 'benign neoplasm of sites', 'neoplasm of uncertain or unknown behaviour of brain and central nervous system']"
986,77,Dexrazoxane,"['F11', 'F13', 'F19', 'B18', 'B24', 'F14', 'F15']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic viral hepatitis', 'human immunodeficiency virus [hiv] disease', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of stimulants, including caffeine']"
987,430,Hyaluronidase,"['D29', 'N40', 'N50']","['benign neoplasm of male genital organs', 'hyperplasia of prostate', 'disorders of male genital organs']"
988,222_294,Cytisine,"['G93', 'I46']","['disorders of brain', 'cardiac arrest']"
989,426,Mesoridazine,"['M66', 'M75', 'M77']","['spontaneous rupture of synovium and tendon', 'shoulder lesions', 'enthesopathies']"
990,61,Dimethyl sulfoxide,"['I10', 'I15']","['essential (primary) hypertension', 'secondary hypertension']"
991,374,Camphor,"['L95', 'C45', 'D89', 'E01', 'E72', 'G90', 'I10', 'I22', 'I33', 'I60', 'I78', 'J04', 'J13', 'K27', 'L08', 'L20', 'L21', 'L23', 'L29', 'L50', 'L71', 'L85', 'M05', 'M31', 'M45', 'M85', 'M96', 'N62']","['vasculitis limited to skin', 'mesothelioma', 'disorders involving the immune mechanism', 'iodine-deficiency-related thyroid disorders and allied conditions', 'disorders of amino-acid metabolism', 'disorders of autonomic nervous system', 'essential (primary) hypertension', 'subsequent myocardial infarction', 'acute and subacute endocarditis', 'subarachnoid haemorrhage', 'diseases of capillaries', 'acute laryngitis and tracheitis', 'pneumonia due to streptococcus pneumoniae', 'acute with perforation', 'local infections of skin and subcutaneous tissue', 'atopic dermatitis', 'seborrhoeic dermatitis', 'allergic contact dermatitis', 'pruritus', 'urticaria', 'rosacea', 'epidermal thickening', 'seropositive rheumatoid arthritis', 'necrotising vasculopathies', 'ankylosing spondylitis', 'disorders of bone density and structure', 'postprocedural musculoskeletal disorders', 'hypertrophy of breast']"
992,232,Quinethazone,"['K20', 'K22', 'K21', 'K25', 'K26', 'K44']","['oesophagitis', 'diseases of oesophagus', 'gastro-oesophageal reflux disease', 'gastric ulcer', 'duodenal ulcer', 'diaphragmatic hernia']"
993,77,Ranolazine,"['F11', 'F13', 'F19', 'B18', 'B24', 'F14', 'F15']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic viral hepatitis', 'human immunodeficiency virus [hiv] disease', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of stimulants, including caffeine']"
994,15_73,Ziprasidone,"['E10', 'E14', 'E16']","['insulin-dependent diabetes mellitus', 'diabetes mellitus', 'disorders of pancreatic internal secretion']"
995,291,Marimastat,"['L89', 'N08', 'E11', 'E55', 'G61', 'I13', 'I33', 'L28']","['decubitus ulcer', 'glomerular disorders in diseases classified elsewhere', 'non-insulin-dependent diabetes mellitus', 'vitamin d deficiency', 'inflammatory polyneuropathy', 'hypertensive heart and renal disease', 'acute and subacute endocarditis', 'lichen simplex chronicus and prurigo']"
996,433,Gallamine Triethiodide,"['B18', 'C22', 'C24']","['chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract']"
997,379,Pasireotide,"['F13', 'F33', 'F41', 'F43', 'F45', 'F32']","['mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders', 'depressive episode']"
998,47,Temazepam,"['N12', 'N39']","['tubulo-interstitial nephritis', 'disorders of urinary system']"
999,200,Butethal,"['F09', 'F63', 'F03', 'F10', 'G31', 'L21', 'D52', 'E51', 'E53', 'I62', 'J39', 'K02', 'K12', 'M46']","['organic or symptomatic mental disorder', 'habit and impulse disorders', 'dementia', 'mental and behavioural disorders due to use of alcohol', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'folate deficiency anaemia', 'thiamine deficiency', 'deficiency of b group vitamins', 'nontraumatic intracranial haemorrhage', 'diseases of upper respiratory tract', 'dental caries', 'stomatitis and related lesions', 'inflammatory spondylopathies']"
1000,333_412,Penbutolol,"['K80', 'K81', 'K82']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
1001,405,Scopolamine,"['K83', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82', 'K85', 'K86']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'acute pancreatitis', 'diseases of pancreas']"
1002,390,Natalizumab,"['G91', 'I60', 'D73', 'F52', 'G30', 'L28', 'E11', 'E55', 'F00', 'F05', 'H49', 'A48', 'C76', 'D34', 'H60', 'L08', 'M00', 'N04']","['hydrocephalus', 'subarachnoid haemorrhage', 'diseases of spleen', 'sexual dysfunction', ""alzheimer's disease"", 'lichen simplex chronicus and prurigo', 'non-insulin-dependent diabetes mellitus', 'vitamin d deficiency', ""dementia in alzheimer's disease"", 'delirium', 'paralytic strabismus', 'bacterial diseases', 'malignant neoplasm of ill-defined sites', 'benign neoplasm of thyroid gland', 'otitis externa', 'local infections of skin and subcutaneous tissue', 'pyogenic arthritis', 'nephrotic syndrome']"
1003,126,Chloroquine,"['G35', 'E78', 'E87', 'G45', 'H81', 'M42', 'M47']","['multiple sclerosis', 'disorders of lipoprotein metabolism and lipidaemias', 'disorders of fluid, electrolyte and acid-base balance', 'transient cerebral ischaemic attacks and related syndromes', 'disorders of vestibular function', 'spinal osteochondrosis', 'spondylosis']"
1004,405,Amiodarone,"['K83', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82', 'K85', 'K86']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'acute pancreatitis', 'diseases of pancreas']"
1005,149,Demecarium,"['J44', 'J98']","['chronic obstructive pulmonary disease', 'respiratory disorders']"
1006,129,Tretinoin,"['F17', 'G45', 'J15', 'J20', 'J93', 'L05']","['mental and behavioural disorders due to use of tobacco', 'transient cerebral ischaemic attacks and related syndromes', 'bacterial pneumonia', 'acute bronchitis', 'pneumothorax', 'pilonidal cyst']"
1007,271,Telotristat ethyl,"['B02', 'J18', 'J86', 'B00', 'C79', 'D72', 'D73', 'M84']","['zoster [herpes zoster]', 'pneumonia, organism', 'pyothorax', 'herpesviral [herpes simplex] infections', 'secondary malignant neoplasm of specified sites', 'disorders of white blood cells', 'diseases of spleen', 'disorders of continuity of bone']"
1008,374,Malathion,"['L95', 'C45', 'D89', 'E01', 'E72', 'G90', 'I10', 'I22', 'I33', 'I60', 'I78', 'J04', 'J13', 'K27', 'L08', 'L20', 'L21', 'L23', 'L29', 'L50', 'L71', 'L85', 'M05', 'M31', 'M45', 'M85', 'M96', 'N62']","['vasculitis limited to skin', 'mesothelioma', 'disorders involving the immune mechanism', 'iodine-deficiency-related thyroid disorders and allied conditions', 'disorders of amino-acid metabolism', 'disorders of autonomic nervous system', 'essential (primary) hypertension', 'subsequent myocardial infarction', 'acute and subacute endocarditis', 'subarachnoid haemorrhage', 'diseases of capillaries', 'acute laryngitis and tracheitis', 'pneumonia due to streptococcus pneumoniae', 'acute with perforation', 'local infections of skin and subcutaneous tissue', 'atopic dermatitis', 'seborrhoeic dermatitis', 'allergic contact dermatitis', 'pruritus', 'urticaria', 'rosacea', 'epidermal thickening', 'seropositive rheumatoid arthritis', 'necrotising vasculopathies', 'ankylosing spondylitis', 'disorders of bone density and structure', 'postprocedural musculoskeletal disorders', 'hypertrophy of breast']"
1009,451,Nicotine,"['I31', 'I20', 'I21']","['diseases of pericardium', 'angina pectoris', 'acute myocardial infarction']"
1010,79,Midazolam,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']"
1011,108,Iloprost,"['N19', 'I10', 'I11', 'I34', 'I61', 'I67', 'I70', 'I71', 'L97']","['renal failure', 'essential (primary) hypertension', 'hypertensive heart disease', 'nonrheumatic mitral valve disorders', 'intracerebral haemorrhage', 'cerebrovascular diseases', 'atherosclerosis', 'aortic aneurysm and dissection', 'ulcer of lower limb']"
1012,238,Difluocortolone,"['K25', 'K26', 'K70', 'D52', 'D62', 'F05']","['gastric ulcer', 'duodenal ulcer', 'alcoholic liver disease', 'folate deficiency anaemia', 'acute posthaemorrhagic anaemia', 'delirium']"
1013,351,Hydrochlorothiazide,"['A02', 'A48', 'A69', 'B07', 'B36', 'B44', 'B49', 'B86', 'C11', 'C26', 'C41', 'C45', 'C50', 'C60', 'C66', 'C69', 'C76', 'C84', 'C88', 'D03', 'D07', 'D31', 'D34', 'D51', 'D89', 'E07', 'E22', 'E23', 'E27', 'E46', 'E74', 'E85', 'F52', 'G24', 'G52', 'G90', 'G92', 'H21', 'H31', 'H55', 'H61', 'J02', 'J11', 'J12', 'J61', 'K11', 'K41', 'L25', 'L60', 'L80', 'L81', 'M12', 'M60', 'N11', 'N34', 'N36', 'N50']","['salmonella infections', 'bacterial diseases', 'spirochaetal infections', 'viral warts', 'superficial mycoses', 'aspergillosis', 'mycosis', 'scabies', 'malignant neoplasm of nasopharynx', 'malignant neoplasm of ill-defined digestive organs', 'malignant neoplasm of bone and articular cartilage of sites', 'mesothelioma', 'malignant neoplasm of breast', 'malignant neoplasm of penis', 'malignant neoplasm of ureter', 'malignant neoplasm of eye and adnexa', 'malignant neoplasm of ill-defined sites', 'peripheral and cutaneous t-cell lymphomas', 'malignant immunoproliferative diseases', 'melanoma in situ', 'carcinoma in situ of genital organs', 'benign neoplasm of eye and adnexa', 'benign neoplasm of thyroid gland', 'vitamin b12 deficiency anaemia', 'disorders involving the immune mechanism', 'disorders of thyroid', 'hyperfunction of pituitary gland', 'hypofunction and disorders of pituitary gland', 'disorders of adrenal gland', 'protein-energy malnutrition', 'disorders of carbohydrate metabolism', 'amyloidosis', 'sexual dysfunction', 'dystonia', 'disorders of cranial nerves', 'disorders of autonomic nervous system', 'toxic encephalopathy', 'disorders of iris and ciliary body', 'disorders of choroid', 'nystagmus and irregular eye movements', 'disorders of external ear', 'acute pharyngitis', 'influenza virus', 'viral pneumonia', 'pneumoconiosis due to asbestos and mineral fibres', 'diseases of salivary glands', 'femoral hernia', 'contact dermatitis', 'nail disorders', 'vitiligo', 'disorders of pigmentation', 'specific arthropathies', 'myositis', 'chronic tubulo-interstitial nephritis', 'urethritis and urethral syndrome', 'disorders of urethra', 'disorders of male genital organs']"
1014,346,Diethylcarbamazine,"['N10', 'N18', 'B02', 'B25', 'H10', 'I13', 'N05']","['acute tubulo-interstitial nephritis', 'chronic renal failure', 'zoster [herpes zoster]', 'cytomegaloviral disease', 'conjunctivitis', 'hypertensive heart and renal disease', 'minor glomerular abnormality']"
1015,210_305,Clobetasone,"['M43', 'M48', 'M51', 'M54', 'M96', 'G54', 'H61']","['deforming dorsopathies', 'spondylopathies', 'intervertebral disk disorders', 'dorsalgia', 'postprocedural musculoskeletal disorders', 'nerve root and plexus disorders', 'disorders of external ear']"
1016,366,Enzacamene,"['C91', 'C82', 'C83', 'C85', 'D72', 'D80']","['lymphoid leukaemia', ""follicular [nodular] non-hodgkin's lymphoma"", ""diffuse non-hodgkin's lymphoma"", ""specified types of non-hodgkin's lymphoma"", 'disorders of white blood cells', 'immunodeficiency with antibody defects']"
1017,205,Vinflunine,"['D52', 'J41', 'L71', 'F17', 'J42', 'J13', 'J39', 'K04', 'K08', 'K12', 'L08', 'N62']","['folate deficiency anaemia', 'simple and mucopurulent chronic bronchitis', 'rosacea', 'mental and behavioural disorders due to use of tobacco', 'chronic bronchitis', 'pneumonia due to streptococcus pneumoniae', 'diseases of upper respiratory tract', 'diseases of pulp and periapical tissues', 'disorders of teeth and supporting structures', 'stomatitis and related lesions', 'local infections of skin and subcutaneous tissue', 'hypertrophy of breast']"
1018,380,Testosterone propionate,"['H26', 'H33']","['cataract', 'retinal detachments and breaks']"
1019,119,Ergoloid mesylate,"['F70', 'D75', 'D52', 'F10', 'F22', 'G31', 'L21', 'C10', 'C13', 'E53', 'H10', 'I86', 'N62']","['mild mental retardation', 'diseases of blood and blood-forming organs', 'folate deficiency anaemia', 'mental and behavioural disorders due to use of alcohol', 'persistent delusional disorders', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'malignant neoplasm of oropharynx', 'malignant neoplasm of hypopharynx', 'deficiency of b group vitamins', 'conjunctivitis', 'varicose veins of specified sites', 'hypertrophy of breast']"
1020,3,Risperidone,"['H73', 'K92']","['disorders of tympanic membrane', 'diseases of digestive system']"
1021,47,Interferon alfa-n1,"['N12', 'N39']","['tubulo-interstitial nephritis', 'disorders of urinary system']"
1022,158,Doxazosin,"['K92', 'D62']","['diseases of digestive system', 'acute posthaemorrhagic anaemia']"
1023,346,Amodiaquine,"['N10', 'N18', 'B02', 'B25', 'H10', 'I13', 'N05']","['acute tubulo-interstitial nephritis', 'chronic renal failure', 'zoster [herpes zoster]', 'cytomegaloviral disease', 'conjunctivitis', 'hypertensive heart and renal disease', 'minor glomerular abnormality']"
1024,67,Sacubitril,"['B20', 'B24']","['human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases', 'human immunodeficiency virus [hiv] disease']"
1025,244,Nitrous acid,"['L71', 'K70', 'D53', 'F05', 'G31']","['rosacea', 'alcoholic liver disease', 'nutritional anaemias', 'delirium', 'degenerative diseases of nervous system']"
1026,440,Antipyrine,"['H44', 'D31', 'H04', 'H25', 'H34', 'H50']","['disorders of globe', 'benign neoplasm of eye and adnexa', 'disorders of lachrymal system', 'senile cataract', 'retinal vascular occlusions', 'strabismus']"
1027,379,Gadoxetic acid,"['F13', 'F33', 'F41', 'F43', 'F45', 'F32']","['mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders', 'depressive episode']"
1028,272,Parachlorophenol,"['B16', 'K73', 'B18', 'C22', 'F19']","['acute hepatitis b', 'chronic hepatitis', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']"
1029,225,Mitiglinide,"['D12', 'I84', 'K60', 'K64']","['benign neoplasm of colon, rectum, anus and anal canal', 'haemorrhoids', 'fissure and fistula of anal and rectal regions', 'haemorrhoids and perianal venous thrombosis']"
1030,18,Methacholine,"['E66', 'E78', 'F17', 'I10', 'K76']","['obesity', 'disorders of lipoprotein metabolism and lipidaemias', 'mental and behavioural disorders due to use of tobacco', 'essential (primary) hypertension', 'diseases of liver']"
1031,348,Chlorothiazide,"['N32', 'N40', 'N41', 'N21', 'N42']","['disorders of bladder', 'hyperplasia of prostate', 'inflammatory diseases of prostate', 'calculus of lower urinary tract', 'disorders of prostate']"
1032,443,Astemizole,"['D75', 'D64', 'D68', 'E21', 'E83']","['diseases of blood and blood-forming organs', 'anaemias', 'coagulation defects', 'hyperparathyroidism and disorders of parathyroid gland', 'disorders of mineral metabolism']"
1033,118,Drotaverine,"['F70', 'D53', 'F10', 'F34', 'F05', 'G31', 'H10', 'K72', 'L21']","['mild mental retardation', 'nutritional anaemias', 'mental and behavioural disorders due to use of alcohol', 'persistent mood [affective] disorders', 'delirium', 'degenerative diseases of nervous system', 'conjunctivitis', 'hepatic failure', 'seborrhoeic dermatitis']"
1034,228,Adenosine,"['J41', 'J44', 'J47', 'G61', 'H10', 'J40', 'J82']","['simple and mucopurulent chronic bronchitis', 'chronic obstructive pulmonary disease', 'bronchiectasis', 'inflammatory polyneuropathy', 'conjunctivitis', 'bronchitis', 'pulmonary eosinophilia']"
1035,303,Abemaciclib,"['G40', 'G41', 'F01', 'F71']","['epilepsy', 'status epilepticus', 'vascular dementia', 'moderate mental retardation']"
1036,172,Loteprednol,"['B37', 'J18', 'J86']","['candidiasis', 'pneumonia, organism', 'pyothorax']"
1037,79,Desmopressin,"['B16', 'B18', 'F11', 'F12', 'F13', 'F14', 'F19', 'K73']","['acute hepatitis b', 'chronic viral hepatitis', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic hepatitis']"
1038,54,Testosterone,"['E87', 'F10', 'F17']","['disorders of fluid, electrolyte and acid-base balance', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of tobacco']"
1039,239,Antithymocyte immunoglobulin (rabbit),"['K76', 'A04', 'D61', 'E55', 'K46', 'K55', 'K75']","['diseases of liver', 'bacterial intestinal infections', 'aplastic anaemias', 'vitamin d deficiency', 'abdominal hernia', 'vascular disorders of intestine', 'inflammatory liver diseases']"
1040,134,Darifenacin,"['M42', 'M51', 'M54', 'G54', 'M62']","['spinal osteochondrosis', 'intervertebral disk disorders', 'dorsalgia', 'nerve root and plexus disorders', 'disorders of muscle']"
1041,413,Metipranolol,"['K83', 'B18', 'C22', 'C24']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract']"
1042,411,Danthron,"['G31', 'F10', 'F43']","['degenerative diseases of nervous system', 'mental and behavioural disorders due to use of alcohol', 'reaction to severe stress, and adjustment disorders']"
1043,379,Mephentermine,"['F13', 'F33', 'F41', 'F43', 'F45', 'F32']","['mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders', 'depressive episode']"
1044,13,Phenylpropanolamine,"['D80', 'E61', 'G00', 'H02', 'H04', 'J01', 'K00', 'K76', 'M43', 'J35', 'J36']","['immunodeficiency with antibody defects', 'deficiency of nutrient elements', 'bacterial meningitis', 'disorders of eyelid', 'disorders of lachrymal system', 'acute sinusitis', 'disorders of tooth development and eruption', 'diseases of liver', 'deforming dorsopathies', 'chronic diseases of tonsils and adenoids', 'peritonsillar abscess']"
1045,80,Zolpidem,"['F17', 'J93']","['mental and behavioural disorders due to use of tobacco', 'pneumothorax']"
1046,334,Estriol,"['L28', 'K76', 'D73', 'E51', 'M89']","['lichen simplex chronicus and prurigo', 'diseases of liver', 'diseases of spleen', 'thiamine deficiency', 'disorders of bone']"
1047,448,Fludrocortisone,"['F32', 'F33', 'F41', 'F43', 'F45']","['depressive episode', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders']"
1048,291,Urokinase,"['L89', 'N08', 'E11', 'E55', 'G61', 'I13', 'I33', 'L28']","['decubitus ulcer', 'glomerular disorders in diseases classified elsewhere', 'non-insulin-dependent diabetes mellitus', 'vitamin d deficiency', 'inflammatory polyneuropathy', 'hypertensive heart and renal disease', 'acute and subacute endocarditis', 'lichen simplex chronicus and prurigo']"
1049,307,Esomeprazole,"['J31', 'K45', 'E66', 'G62', 'G61', 'H16', 'L71', 'M93']","['chronic rhinitis, nasopharyngitis and pharyngitis', 'abdominal hernia', 'obesity', 'polyneuropathies', 'inflammatory polyneuropathy', 'keratitis', 'rosacea', 'osteochondropathies']"
1050,410,Phenylbutazone,"['I85', 'K70', 'K72', 'K74']","['oesophageal varices', 'alcoholic liver disease', 'hepatic failure', 'fibrosis and cirrhosis of liver']"
1051,129,Thiopental,"['F17', 'G45', 'J15', 'J20', 'J93', 'L05']","['mental and behavioural disorders due to use of tobacco', 'transient cerebral ischaemic attacks and related syndromes', 'bacterial pneumonia', 'acute bronchitis', 'pneumothorax', 'pilonidal cyst']"
1052,217,Nimesulide,"['I20', 'I21', 'I25', 'B00']","['angina pectoris', 'acute myocardial infarction', 'chronic ischaemic heart disease', 'herpesviral [herpes simplex] infections']"
1053,118,Brentuximab vedotin,"['F70', 'D53', 'F10', 'F34', 'F05', 'G31', 'H10', 'K72', 'L21']","['mild mental retardation', 'nutritional anaemias', 'mental and behavioural disorders due to use of alcohol', 'persistent mood [affective] disorders', 'delirium', 'degenerative diseases of nervous system', 'conjunctivitis', 'hepatic failure', 'seborrhoeic dermatitis']"
1054,457,Norethynodrel,"['M16', 'M41', 'M42', 'M43', 'M87']","['coxarthrosis [arthrosis of hip]', 'scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'osteonecrosis']"
1055,95_150,Flumazenil,"['K07', 'K09']","['dentofacial anomalies [including malocclusion]', 'cysts of oral region']"
1056,405,Lamotrigine,"['K83', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82', 'K85', 'K86']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'acute pancreatitis', 'diseases of pancreas']"
1057,11,Fluorometholone,"['C71', 'C79', 'H53']","['malignant neoplasm of brain', 'secondary malignant neoplasm of specified sites', 'visual disturbances']"
1058,299,Guanidine,"['G47', 'J30', 'F51']","['sleep disorders', 'vasomotor and allergic rhinitis', 'sleep disorders']"
1059,397,Heparin,"['I48', 'A48', 'C76', 'H18', 'H61', 'I33', 'J30', 'K04']","['atrial fibrillation and flutter', 'bacterial diseases', 'malignant neoplasm of ill-defined sites', 'disorders of cornea', 'disorders of external ear', 'acute and subacute endocarditis', 'vasomotor and allergic rhinitis', 'diseases of pulp and periapical tissues']"
1060,390,Azathioprine,"['G91', 'I60', 'D73', 'F52', 'G30', 'L28', 'E11', 'E55', 'F00', 'F05', 'H49', 'A48', 'C76', 'D34', 'H60', 'L08', 'M00', 'N04']","['hydrocephalus', 'subarachnoid haemorrhage', 'diseases of spleen', 'sexual dysfunction', ""alzheimer's disease"", 'lichen simplex chronicus and prurigo', 'non-insulin-dependent diabetes mellitus', 'vitamin d deficiency', ""dementia in alzheimer's disease"", 'delirium', 'paralytic strabismus', 'bacterial diseases', 'malignant neoplasm of ill-defined sites', 'benign neoplasm of thyroid gland', 'otitis externa', 'local infections of skin and subcutaneous tissue', 'pyogenic arthritis', 'nephrotic syndrome']"
1061,413,Nalbuphine,"['K83', 'B18', 'C22', 'C24']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract']"
1062,238,Metixene,"['K25', 'K26', 'K70', 'D52', 'D62', 'F05']","['gastric ulcer', 'duodenal ulcer', 'alcoholic liver disease', 'folate deficiency anaemia', 'acute posthaemorrhagic anaemia', 'delirium']"
1063,80,Icotinib,"['F17', 'J93']","['mental and behavioural disorders due to use of tobacco', 'pneumothorax']"
1064,346,Epinastine,"['N10', 'N18', 'B02', 'B25', 'H10', 'I13', 'N05']","['acute tubulo-interstitial nephritis', 'chronic renal failure', 'zoster [herpes zoster]', 'cytomegaloviral disease', 'conjunctivitis', 'hypertensive heart and renal disease', 'minor glomerular abnormality']"
1065,421,Tramadol,"['M66', 'M24', 'M65', 'M67', 'M71', 'M93', 'M94']","['spontaneous rupture of synovium and tendon', 'specific joint derangements', 'infective (teno)synovitis', 'disorders of synovium and tendon', 'bursopathies', 'osteochondropathies', 'disorders of cartilage']"
1066,438,Midodrine,"['B37', 'C34', 'C38', 'C79', 'C80', 'D48', 'D63', 'D70', 'J82', 'M84']","['candidiasis', 'malignant neoplasm of bronchus and lung', 'malignant neoplasm of heart, mediastinum and pleura', 'secondary malignant neoplasm of specified sites', 'malignant neoplasm', 'neoplasm of uncertain or unknown behaviour of sites', 'anaemia in chronic diseases classified elsewhere', 'agranulocytosis', 'pulmonary eosinophilia', 'disorders of continuity of bone']"
1067,131,Glycerol Phenylbutyrate,"['F11', 'F13', 'F33', 'F43', 'F60']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'reaction to severe stress, and adjustment disorders', 'specific personality disorders']"
1068,405,Allylestrenol,"['K83', 'B18', 'C22', 'C24', 'C25', 'K80', 'K81', 'K82', 'K85', 'K86']","['diseases of biliary tract', 'chronic viral hepatitis', 'malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of parts of biliary tract', 'malignant neoplasm of pancreas', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'acute pancreatitis', 'diseases of pancreas']"
1069,85,Alitretinoin,"['F41', 'F45']","['anxiety disorders', 'somatoform disorders']"
1070,329,Ospemifene,"['C44', 'L57', 'D23']","['malignant neoplasms of skin', 'skin changes due to chronic exposure to nonionising radiation', 'benign neoplasms of skin']"
1071,373,Menadione,"['E10', 'E13', 'E16', 'I79']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere']"
1072,389,Carmustine,"['E10', 'E13', 'E16', 'H26', 'H33', 'H35', 'H36']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'disorders of pancreatic internal secretion', 'cataract', 'retinal detachments and breaks', 'retinal disorders', 'retinal disorders in diseases classified elsewhere']"
1073,77,Calcipotriol,"['F11', 'F13', 'F19', 'B18', 'B24', 'F14', 'F15']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'chronic viral hepatitis', 'human immunodeficiency virus [hiv] disease', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of stimulants, including caffeine']"
1074,200,Heparin,"['F09', 'F63', 'F03', 'F10', 'G31', 'L21', 'D52', 'E51', 'E53', 'I62', 'J39', 'K02', 'K12', 'M46']","['organic or symptomatic mental disorder', 'habit and impulse disorders', 'dementia', 'mental and behavioural disorders due to use of alcohol', 'degenerative diseases of nervous system', 'seborrhoeic dermatitis', 'folate deficiency anaemia', 'thiamine deficiency', 'deficiency of b group vitamins', 'nontraumatic intracranial haemorrhage', 'diseases of upper respiratory tract', 'dental caries', 'stomatitis and related lesions', 'inflammatory spondylopathies']"
1075,291,Suramin,"['L89', 'N08', 'E11', 'E55', 'G61', 'I13', 'I33', 'L28']","['decubitus ulcer', 'glomerular disorders in diseases classified elsewhere', 'non-insulin-dependent diabetes mellitus', 'vitamin d deficiency', 'inflammatory polyneuropathy', 'hypertensive heart and renal disease', 'acute and subacute endocarditis', 'lichen simplex chronicus and prurigo']"
