,Unnamed: 0.1,Unnamed: 0,ICD,Drug,Consensus Name,Disease Name,PubMed_query_name,PubMed count
432,432,429,E84,Ingenol Mebutate,cystic fibrosis,"cystic fibrosis;cystic fibrosis with pulmonary manifestations;cystic fibrosis with intestinal manifestations;cystic fibrosis with other manifestations;cystic fibrosis, unspecified",cystic fibrosis,1.0
433,433,430,D69,Terfenadine,purpura and haemorrhagic conditions,"purpura and other haemorrhagic conditions;allergic purpura;qualitative platelet defects;other nonthrombocytopenic purpura;idiopathic thrombocytopenic purpura;other primary thrombocytopenia;secondary thrombocytopenia;thrombocytopenia, unspecified;other specified haemorrhagic conditions;haemorrhagic condition, unspecified",purpura and haemorrhagic conditions,91.0
434,434,431,I80,Obeticholic acid,phlebitis and thrombophlebitis,"phlebitis and thrombophlebitis;phlebitis and thrombophlebitis of superficial vessels of lower extremities;phlebitis and thrombophlebitis of femoral vein;phlebitis and thrombophlebitis of other deep vessels of lower extremities;phlebitis and thrombophlebitis of lower extremities, unspecified;phlebitis and thrombophlebitis of other sites;phlebitis and thrombophlebitis of unspecified site",phlebitis and thrombophlebitis,0.0
435,435,432,J80,Sulfadiazine,adult respiratory distress syndrome,adult respiratory distress syndrome,adult respiratory distress syndrome,7.0
436,436,433,I80,Domperidone,phlebitis and thrombophlebitis,"phlebitis and thrombophlebitis;phlebitis and thrombophlebitis of superficial vessels of lower extremities;phlebitis and thrombophlebitis of femoral vein;phlebitis and thrombophlebitis of other deep vessels of lower extremities;phlebitis and thrombophlebitis of lower extremities, unspecified;phlebitis and thrombophlebitis of other sites;phlebitis and thrombophlebitis of unspecified site",phlebitis and thrombophlebitis,0.0
437,437,434,G31,Diosmin,"degenerative diseases of nervous system, not elsewhere classified","other degenerative diseases of nervous system, not elsewhere classified;circumscribed brain atrophy;senile degeneration of brain, not elsewhere classified;degeneration of nervous system due to alcohol;other specified degenerative diseases of nervous system;degenerative disease of nervous system, unspecified",degenerative diseases of nervous system,0.0
438,438,435,F34,Warfarin,persistent mood [affective] disorders,"persistent mood [affective] disorders;cyclothymia;dysthymia;other persistent mood [affective] disorders;persistent mood [affective] disorder, unspecified",persistent mood [affective] disorders,2.0
439,439,436,C91,Dobutamine,lymphoid leukaemia,"lymphoid leukaemia;acute lymphoblastic leukaemia;chronic lymphocytic leukaemia;subacute lymphocytic leukaemia;prolymphocytic leukaemia;hairy-cell leukaemia;adult t-cell leukaemia;prolymphocytic leukaemia of t-cell type;other lymphoid leukaemia;mature b-cell leukaemia burkitt-type;lymphoid leukaemia, unspecified",lymphoid leukaemia,1.0
440,440,437,G35,Sibutramine,multiple sclerosis,multiple sclerosis,multiple sclerosis,0.0
441,441,438,K82,Phenylephrine,diseases of gallbladder,"other diseases of gallbladder;obstruction of gallbladder;hydrops of gallbladder;perforation of gallbladder;fistula of gallbladder;cholesterolosis of gallbladder;other specified diseases of gallbladder;disease of gallbladder, unspecified",diseases of gallbladder,0.0
442,442,439,C85,Dinoprostone,specified types of non-hodgkin's lymphoma,"other and unspecified types of non-hodgkin's lymphoma;lymphosarcoma;b-cell lymphoma, unspecified;mediastinal (thymic) large b-cell lymphoma;other specified types of non-hodgkin's lymphoma;non-hodgkin's lymphoma, unspecified type",specified types of non-hodgkin's lymphoma,0.0
443,443,440,K92,Oxytocin,diseases of digestive system,"other diseases of digestive system;haematemesis;melaena;gastro-intestinal haemorrhage, unspecified;other specified diseases of digestive system;disease of digestive system, unspecified",diseases of digestive system,67.0
444,444,441,I82,Amsacrine,venous embolism and thrombosis,other venous embolism and thrombosis;budd-chiari syndrome;thrombophlebitis migrans;embolism and thrombosis of vena cava;embolism and thrombosis of renal vein;embolism and thrombosis of other specified veins;embolism and thrombosis of unspecified vein,venous embolism and thrombosis,3.0
445,445,442,D72,Ivacaftor,disorders of white blood cells,"other disorders of white blood cells;genetic anomalies of leukocytes;eosinophilia;other specified disorders of white blood cells;disorder of white blood cells, unspecified",disorders of white blood cells,17.0
446,446,443,M08,Topiroxostat,juvenile arthritis,"juvenile arthritis;juvenile rheumatoid arthritis;juvenile ankylosing spondylitis;juvenile arthritis with systemic onset;juvenile polyarthritis (seronegative);pauciarticular juvenile arthritis;other juvenile arthritis;juvenile arthritis, unspecified",juvenile arthritis,0.0
447,447,444,A63,Phentolamine,"predominantly sexually transmitted diseases, not elsewhere classified","other predominantly sexually transmitted diseases, not elsewhere classified;anogenital (venereal) warts;other specified predominantly sexually transmitted diseases",sexually transmitted diseases,3.0
448,448,445,A15,Polyestradiol phosphate,"respiratory tuberculosis, bacteriologically and histologically confirmed","respiratory tuberculosis, bacteriologically and histologically confirmed;tuberculosis of lung, confirmed by sputum microscopy with or without culture;tuberculosis of lung, confirmed by culture only;tuberculosis of lung, confirmed histologically;tuberculosis of lung, confirmed by unspecified means;tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;tuberculous pleurisy, confirmed bacteriologically and histologically;primary respiratory tuberculosis, confirmed bacteriologically and histologically;other respiratory tuberculosis, confirmed bacteriologically and histologically;respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","respiratory tuberculosis, bacteriologically and histologically confirmed",1.0
449,449,446,L63,Dextroamphetamine,alopecia areata,"alopecia areata;alopecia (capitis) totalis;alopecia universalis;ophiasis;other alopecia areata;alopecia areata, unspecified",alopecia areata,1.0
450,450,447,F39,Estradiol dienanthate,unspecified mood [affective] disorder,unspecified mood [affective] disorder,mood [affective] disorder,1.0
451,451,448,G59,Denileukin diftitox,mononeuropathy in diseases classified elsewhere,mononeuropathy in diseases classified elsewhere;diabetic mononeuropathy;other mononeuropathies in diseases classified elsewhere,mononeuropathy in diseases classified elsewhere,0.0
452,452,449,M16,Tezacaftor,coxarthrosis [arthrosis of hip],"coxarthrosis [arthrosis of hip];primary coxarthrosis, bilateral;other primary coxarthrosis;coxarthrosis resulting from dysplasia, bilateral;other dysplastic coxarthrosis;posttraumatic coxarthrosis, bilateral;other posttraumatic coxarthrosis;other secondary coxarthrosis, bilateral;other secondary coxarthrosis;coxarthrosis, unspecified",coxarthrosis [arthrosis of hip],0.0
453,453,450,B67,Nalbuphine,echinococcosis,"echinococcosis;echinococcus granulosus infection of liver;echinococcus granulosus infection of lung;echinococcus granulosus infection of bone;echinococcus granulosus infection, other and multiple sites;echinococcus granulosus infection, unspecified;echinococcus multilocularis infection of liver;echinococcus multilocularis infection, other and multiple sites;echinococcus multilocularis infection, unspecified;echinococcosis, unspecified, of liver;echinococcosis, other and unspecified",echinococcosis,0.0
454,454,451,M71,Oxytocin,bursopathies,"other bursopathies;abscess of bursa;other infective bursitis;synovial cyst of popliteal space [baker];other bursal cyst;calcium deposit in bursa;other bursitis, not elsewhere classified;other specified bursopathies;bursopathy, unspecified",bursopathies,0.0
455,455,452,E85,Bupivacaine,amyloidosis,"amyloidosis;nonneuropathic heredofamilial amyloidosis;neuropathic heredofamilial amyloidosis;heredofamilial amyloidosis, unspecified;secondary systemic amyloidosis;organ-limited amyloidosis;other amyloidosis;amyloidosis, unspecified",amyloidosis,2.0
456,456,453,G93,Norethisterone,disorders of brain,"other disorders of brain;cerebral cysts;anoxic brain damage, not elsewhere classified;benign intracranial hypertension;postviral fatigue syndrome;encephalopathy, unspecified;compression of brain;cerebral oedema;reye's syndrome;other specified disorders of brain;disorder of brain, unspecified",disorders of brain,27.0
457,457,454,I81,Emicizumab,portal vein thrombosis,portal vein thrombosis,portal vein thrombosis,0.0
458,458,455,C67,Fomepizole,malignant neoplasm of bladder,"malignant neoplasm of bladder;trigone of bladder;dome of bladder;lateral wall of bladder;anterior wall of bladder;posterior wall of bladder;bladder neck;ureteric orifice;urachus;overlapping lesion of bladder;bladder, unspecified",malignant neoplasm of bladder,1.0
459,459,456,J45,Opium,asthma,,,0.0
460,460,457,N04,Methionine,nephrotic syndrome,nephrotic syndrome;minor glomerular abnormality;focal and segmental glomerular lesions;diffuse membranous glomerulonephritis;diffuse mesangial proliferative glomerulonephritis;diffuse endocapillary proliferative glomerulonephritis;diffuse mesangiocapillary glomerulonephritis;dense deposit disease;diffuse crescentic glomerulonephritis;other;unspecified,nephrotic syndrome,21.0
461,461,458,K70,Chlorphenesin,alcoholic liver disease,"alcoholic liver disease;alcoholic fatty liver;alcoholic hepatitis;alcoholic fibrosis and sclerosis of liver;alcoholic cirrhosis of liver;alcoholic hepatic failure;alcoholic liver disease, unspecified",alcoholic liver disease,0.0
462,462,459,A81,Pitolisant,atypical virus infections of central nervous system,"atypical virus infections of central nervous system;creutzfeldt-jakob disease;subacute sclerosing panencephalitis;progressive multifocal leukoencephalopathy;other atypical virus infections of central nervous system;atypical virus infection of central nervous system, unspecified",atypical virus infections of central nervous system,0.0
463,463,460,F99,Eplerenone,"mental disorder, not otherwise specified","mental disorder, not otherwise specified",mental disorder,13.0
464,464,461,N95,Levonorgestrel,menopausal and perimenopausal disorders,"menopausal and other perimenopausal disorders;postmenopausal bleeding;menopausal and female climacteric states;postmenopausal atrophic vaginitis;states associated with artificial menopause;other specified menopausal and perimenopausal disorders;menopausal and perimenopausal disorder, unspecified",menopausal and perimenopausal disorders,412.0
465,465,462,C02,L-Tryptophan,malignant neoplasm of parts of tongue,"malignant neoplasm of other and unspecified parts of tongue;dorsal surface of tongue;border of tongue;ventral surface of tongue;anterior two-thirds of tongue, part unspecified;lingual tonsil;overlapping lesion of tongue;tongue, unspecified",malignant neoplasm of parts of tongue,0.0
466,466,463,D74,Cephalexin,methaemoglobinaemia,"methaemoglobinaemia;congenital methaemoglobinaemia;other methaemoglobinaemias;methaemoglobinaemia, unspecified",methaemoglobinaemia,1.0
467,467,464,I95,Oxaprozin,hypotension,"hypotension;idiopathic hypotension;orthostatic hypotension;hypotension due to drugs;other hypotension;hypotension, unspecified",hypotension,3.0
468,468,465,K80,Trilostane,cholelithiasis,cholelithiasis;calculus of gallbladder with acute cholecystitis;calculus of gallbladder with other cholecystitis;calculus of gallbladder without cholecystitis;calculus of bile duct with cholangitis;calculus of bile duct with cholecystitis;calculus of bile duct without cholangitis or cholecystitis;other cholelithiasis,cholelithiasis,0.0
469,469,466,G30,Interferon beta-1a,alzheimer's disease,"alzheimer's disease;alzheimer's disease with early onset;alzheimer's disease with late onset;other alzheimer's disease;alzheimer's disease, unspecified",alzheimer's disease,12.0
470,470,467,K64,Artemether,haemorrhoids and perianal venous thrombosis,"haemorrhoids and perianal venous thrombosis;first degree haemorrhoids;second degree haemorrhoids;third degree haemorrhoids;fourth degree haemorrhoids;residual haemorrhoidal skin tags;perianal venous thrombosis;other specified haemorrhoids;haemorrhoids,  unspecified",haemorrhoids and perianal venous thrombosis,3.0
471,471,468,L28,Etomidate,lichen simplex chronicus and prurigo,lichen simplex chronicus and prurigo;lichen simplex chronicus;prurigo nodularis;other prurigo,lichen simplex chronicus and prurigo,0.0
472,472,469,D74,Levonorgestrel,methaemoglobinaemia,"methaemoglobinaemia;congenital methaemoglobinaemia;other methaemoglobinaemias;methaemoglobinaemia, unspecified",methaemoglobinaemia,0.0
473,473,470,N04,Modafinil,nephrotic syndrome,nephrotic syndrome;minor glomerular abnormality;focal and segmental glomerular lesions;diffuse membranous glomerulonephritis;diffuse mesangial proliferative glomerulonephritis;diffuse endocapillary proliferative glomerulonephritis;diffuse mesangiocapillary glomerulonephritis;dense deposit disease;diffuse crescentic glomerulonephritis;other;unspecified,nephrotic syndrome,0.0
474,474,471,C95,Daclatasvir,leukaemia of cell type,"leukaemia of unspecified cell type;acute leukaemia of unspecified cell type;chronic leukaemia of unspecified cell type;subacute leukaemia of unspecified cell type;other leukaemia of unspecified cell type;leukaemia, unspecified",leukaemia of cell type,0.0
475,475,472,I84,Flunarizine,haemorrhoids,haemorrhoids;internal thrombosed haemorrhoids;internal haemorrhoids with other complications;internal haemorrhoids without complication;external thrombosed haemorrhoids;external haemorrhoids with other complications;external haemorrhoids without complication;residual haemorrhoidal skin tags;unspecified thrombosed haemorrhoids;unspecified haemorrhoids with other complications;unspecified haemorrhoids without complication,haemorrhoids,0.0
476,476,473,N80,Levomenol,endometriosis,"endometriosis;endometriosis of uterus;endometriosis of ovary;endometriosis of fallopian tube;endometriosis of pelvic peritoneum;endometriosis of rectovaginal septum and vagina;endometriosis of intestine;endometriosis in cutaneous scar;other endometriosis;endometriosis, unspecified",endometriosis,0.0
477,477,474,I73,Cyproterone acetate,peripheral vascular diseases,"other peripheral vascular diseases;raynaud's syndrome;thromboangiitis obliterans [buerger];other specified peripheral vascular diseases;peripheral vascular disease, unspecified",peripheral vascular diseases,3.0
478,478,475,I20,Tazarotene,angina pectoris,"angina pectoris;unstable angina;angina pectoris with documented spasm;other forms of angina pectoris;angina pectoris, unspecified",angina pectoris,0.0
479,479,476,F19,Levetiracetam,mental and behavioural disorders due to multiple drug use and use of psychoactive substances,mental and behavioural disorders due to multiple drug use and use of other psychoactive substances;acute intoxication;harmful use;dependence syndrome;withdrawal state;withdrawal state with delirium;psychotic disorder;amnesic syndrome;residual and late-onset psychotic disorder;other mental and behavioural disorders;unspecified mental and behavioural disorder,mental and behavioural disorders due to multiple drug use and use of psychoactive substances,52.0
480,480,477,I20,Immune Globulin Human,angina pectoris,"angina pectoris;unstable angina;angina pectoris with documented spasm;other forms of angina pectoris;angina pectoris, unspecified",angina pectoris,557.0
481,481,478,A85,Menthol,"viral encephalitis, not elsewhere classified","other viral encephalitis, not elsewhere classified;enteroviral encephalitis;adenoviral encephalitis;arthropod-borne viral encephalitis, unspecified;other specified viral encephalitis",viral encephalitis,0.0
482,482,479,J44,Ethynodiol diacetate,chronic obstructive pulmonary disease,"other chronic obstructive pulmonary disease;chronic obstructive pulmonary disease with acute lower respiratory infection;chronic obstructive pulmonary disease with acute exacerbation, unspecified;other specified chronic obstructive pulmonary disease;chronic obstructive pulmonary disease, unspecified",chronic obstructive pulmonary disease,0.0
483,483,480,A05,Desmopressin,bacterial foodborne intoxications,"other bacterial foodborne intoxications;foodborne staphylococcal intoxication;botulism;foodborne clostridium perfringens [clostridium welchii] intoxication;foodborne vibrio parahaemolyticus intoxication;foodborne bacillus cereus intoxication;other specified bacterial foodborne intoxications;bacterial foodborne intoxication, unspecified",bacterial foodborne intoxications,0.0
484,484,481,G50,Naproxen,disorders of trigeminal nerve,"disorders of trigeminal nerve;trigeminal neuralgia;atypical facial pain;other disorders of trigeminal nerve;disorder of trigeminal nerve, unspecified",disorders of trigeminal nerve,4.0
485,485,482,I26,Roxithromycin,pulmonary embolism,pulmonary embolism;pulmonary embolism with mention of acute cor pulmonale;pulmonary embolism without mention of acute cor pulmonale,pulmonary embolism,1.0
486,486,483,F41,Zuclopenthixol,anxiety disorders,"other anxiety disorders;panic disorder [episodic paroxysmal anxiety];generalised anxiety disorder;mixed anxiety and depressive disorder;other mixed anxiety disorders;other specified anxiety disorders;anxiety disorder, unspecified",anxiety disorders,17.0
487,487,484,C02,Pasireotide,malignant neoplasm of parts of tongue,"malignant neoplasm of other and unspecified parts of tongue;dorsal surface of tongue;border of tongue;ventral surface of tongue;anterior two-thirds of tongue, part unspecified;lingual tonsil;overlapping lesion of tongue;tongue, unspecified",malignant neoplasm of parts of tongue,0.0
488,488,485,M33,Muromonab,dermatopolymyositis,"dermatopolymyositis;juvenile dermatomyositis;other dermatomyositis;polymyositis;dermatopolymyositis, unspecified",dermatopolymyositis,0.0
489,489,486,C96,Trifluoperazine,"specified malignant neoplasms of lymphoid, haematopoietic and related tissue","other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue;letterer-siwe disease;malignant histiocytosis;malignant mast cell tumour;true histiocytic lymphoma;sarcoma of dendritic cells (accessory cells);multifocal and unisystemic langerhans-cell histiocytosis;unifocal langerhans-cell histiocytosis;other specified malignant neoplasms of lymphoid, haematopoietic and related tissue;histiocytic sarcoma;malignant neoplasms of lymphoid, haematopoietic and related tissue, unspecified","specified malignant neoplasms of lymphoid, haematopoietic and related tissue",101.0
490,490,487,F19,Tildrakizumab,mental and behavioural disorders due to multiple drug use and use of psychoactive substances,mental and behavioural disorders due to multiple drug use and use of other psychoactive substances;acute intoxication;harmful use;dependence syndrome;withdrawal state;withdrawal state with delirium;psychotic disorder;amnesic syndrome;residual and late-onset psychotic disorder;other mental and behavioural disorders;unspecified mental and behavioural disorder,mental and behavioural disorders due to multiple drug use and use of psychoactive substances,0.0
491,491,488,E13,Fenfluramine,specified diabetes mellitus,other specified diabetes mellitus;with coma;with ketoacidosis;with renal complications;with ophthalmic complications;with neurological complications;with peripheral circulatory complications;with other specified complications;with multiple complications;with unspecified complications;without complications,specified diabetes mellitus,1.0
492,492,489,J66,Cilostazol,airway disease due to specific organic dust,airway disease due to specific organic dust;byssinosis;flax-dresser's disease;cannabinosis;airway disease due to other specific organic dusts,airway disease due to specific organic dust,0.0
493,493,490,F52,L-Tryptophan,"sexual dysfunction, not caused by organic disorder or disease","sexual dysfunction, not caused by organic disorder or disease;lack or loss of sexual desire;sexual aversion and lack of sexual enjoyment;failure of genital response;orgasmic dysfunction;premature ejaculation;nonorganic vaginismus;nonorganic dyspareunia;excessive sexual drive;other sexual dysfunction, not caused by organic disorder or disease;unspecified sexual dysfunction, not caused by organic disorder or disease",sexual dysfunction,29.0
494,494,491,H21,Apalutamide,disorders of iris and ciliary body,"other disorders of iris and ciliary body;hyphaema;other vascular disorders of iris and ciliary body;degeneration of iris and ciliary body;cyst of iris, ciliary body and anterior chamber;pupillary membranes;other adhesions and disruptions of iris and ciliary body;other specified disorders of iris and ciliary body;disorder of iris and ciliary body, unspecified",disorders of iris and ciliary body,0.0
495,495,492,C84,Pipecuronium,peripheral and cutaneous t-cell lymphomas,"peripheral and cutaneous t-cell lymphomas;mycosis fungoides;sezary's diease;t-zone lymphoma;lymphoepithelioid lymphoma;peripheral t-cell lymphoma;other and unspecified t-cell lymphomas;anaplastic large cell lymphoma, alk-positive;anaplastic large cell lymphoma, alk-negative;cutaneous t-cell lymphoma, unspecified;mature t/nk-cell lymphoma, unspecified",peripheral and cutaneous t-cell lymphomas,5.0
496,496,493,K52,Monobenzone,non-infective gastro-enteritis and colitis,"other non-infective gastro-enteritis and colitis;gastro-enteritis and colitis due to radiation;toxic gastro-enteritis and colitis;allergic and dietetic gastro-enteritis and colitis;indeterminate colitis;other specified non-infective gastro-enteritis and colitis;non-infective gastro-enteritis and colitis, unspecified",non-infective gastro-enteritis and colitis,0.0
497,497,494,K72,Promethazine,"hepatic failure, not elsewhere classified","hepatic failure, not elsewhere classified;acute and subacute hepatic failure;chronic hepatic failure;hepatic failure, unspecified",hepatic failure,10.0
498,498,495,C43,Inotuzumab ozogamicin,malignant melanoma of skin,"malignant melanoma of skin;malignant melanoma of lip;malignant melanoma of eyelid, including canthus;malignant melanoma of ear and external auricular canal;malignant melanoma of other and unspecified parts of face;malignant melanoma of scalp and neck;malignant melanoma of trunk;malignant melanoma of upper limb, including shoulder;malignant melanoma of lower limb, including hip;overlapping malignant melanoma of skin;malignant melanoma of skin, unspecified",malignant melanoma of skin,0.0
499,499,496,I80,Interferon alfacon-1,phlebitis and thrombophlebitis,"phlebitis and thrombophlebitis;phlebitis and thrombophlebitis of superficial vessels of lower extremities;phlebitis and thrombophlebitis of femoral vein;phlebitis and thrombophlebitis of other deep vessels of lower extremities;phlebitis and thrombophlebitis of lower extremities, unspecified;phlebitis and thrombophlebitis of other sites;phlebitis and thrombophlebitis of unspecified site",phlebitis and thrombophlebitis,0.0
500,500,497,B54,Loxapine,unspecified malaria,unspecified malaria,malaria,0.0
501,501,498,K80,Ergocalciferol,cholelithiasis,cholelithiasis;calculus of gallbladder with acute cholecystitis;calculus of gallbladder with other cholecystitis;calculus of gallbladder without cholecystitis;calculus of bile duct with cholangitis;calculus of bile duct with cholecystitis;calculus of bile duct without cholangitis or cholecystitis;other cholelithiasis,cholelithiasis,2.0
502,502,499,N32,Infliximab,disorders of bladder,"other disorders of bladder;bladder-neck obstruction;vesicointestinal fistula;vesical fistula, not elsewhere classified;diverticulum of bladder;rupture of bladder, nontraumatic;other specified disorders of bladder;bladder disorder, unspecified",disorders of bladder,20.0
503,503,500,E88,Flibanserin,metabolic disorders,"other metabolic disorders;disorders of plasma-protein metabolism, not elsewhere classified;lipodystrophy, not elsewhere classified;lipomatosis, not elsewhere classified;tumour lysis syndrome;other specified metabolic disorders;metabolic disorder, unspecified",metabolic disorders,1.0
504,504,501,K50,Carboplatin,crohn's disease [regional enteritis],"crohn's disease [regional enteritis];crohn's disease of small intestine;crohn's disease of large intestine;other crohn's disease;crohn's disease, unspecified",crohn's disease [regional enteritis],2.0
505,505,502,F19,Foreskin keratinocyte (neonatal),mental and behavioural disorders due to multiple drug use and use of psychoactive substances,mental and behavioural disorders due to multiple drug use and use of other psychoactive substances;acute intoxication;harmful use;dependence syndrome;withdrawal state;withdrawal state with delirium;psychotic disorder;amnesic syndrome;residual and late-onset psychotic disorder;other mental and behavioural disorders;unspecified mental and behavioural disorder,mental and behavioural disorders due to multiple drug use and use of psychoactive substances,0.0
506,506,503,M87,Cobicistat,osteonecrosis,"osteonecrosis;idiopathic aseptic necrosis of bone;osteonecrosis due to drugs;osteonecrosis due to previous trauma;other secondary osteonecrosis;other osteonecrosis;osteonecrosis, unspecified",osteonecrosis,0.0
507,507,504,J41,Valproic Acid,simple and mucopurulent chronic bronchitis,simple and mucopurulent chronic bronchitis;simple chronic bronchitis;mucopurulent chronic bronchitis;mixed simple and mucopurulent chronic bronchitis,simple and mucopurulent chronic bronchitis,0.0
508,508,505,I74,Enprofylline,arterial embolism and thrombosis,"arterial embolism and thrombosis;embolism and thrombosis of abdominal aorta;embolism and thrombosis of other and unspecified parts of aorta;embolism and thrombosis of arteries of the upper extremities;embolism and thrombosis of arteries of the lower extremities;embolism and thrombosis of arteries of extremities, unspecified;embolism and thrombosis of iliac artery;embolism and thrombosis of other arteries;embolism and thrombosis of unspecified artery",arterial embolism and thrombosis,0.0
509,509,506,B54,Dexlansoprazole,unspecified malaria,unspecified malaria,malaria,1.0
510,510,507,E24,Asenapine,cushing's syndrome,"cushing's syndrome;pituitary-dependent cushing's disease;nelson's syndrome;drug-induced cushing's syndrome;ectopic acth syndrome;alcohol-induced pseudo-cushing's syndrome;other cushing's syndrome;cushing's syndrome, unspecified",cushing's syndrome,0.0
511,511,508,M30,Thimerosal,polyarteritis nodosa and related conditions,polyarteritis nodosa and related conditions;polyarteritis nodosa;polyarteritis with lung involvement [churg-strauss];juvenile polyarteritis;mucocutaneous lymph node syndrome [kawasaki];other conditions related to polyarteritis nodosa,polyarteritis nodosa and related conditions,47.0
512,512,509,N62,Octocrylene,hypertrophy of breast,hypertrophy of breast,hypertrophy of breast,0.0
513,513,510,M06,Heptabarbital,rheumatoid arthritis,"other rheumatoid arthritis;seronegative rheumatoid arthritis;adult-onset still's disease;rheumatoid bursitis;rheumatoid nodule;inflammatory polyarthropathy;other specified rheumatoid arthritis;rheumatoid arthritis, unspecified",rheumatoid arthritis,0.0
514,514,511,G64,Cryptenamine,disorders of peripheral nervous system,other disorders of peripheral nervous system,disorders of peripheral nervous system,0.0
515,515,512,E22,Ferric pyrophosphate citrate,hyperfunction of pituitary gland,"hyperfunction of pituitary gland;acromegaly and pituitary gigantism;hyperprolactinaemia;syndrome of inappropriate secretion of antidiuretic hormone;other hyperfunction of pituitary gland;hyperfunction of pituitary gland, unspecified",hyperfunction of pituitary gland,0.0
516,516,513,H20,Pargyline,iridocyclitis,"iridocyclitis;acute and subacute iridocyclitis;chronic iridocyclitis;lens-induced iridocyclitis;other iridocyclitis;iridocyclitis, unspecified",iridocyclitis,0.0
517,517,514,G21,Ergotamine,secondary parkinsonism,"secondary parkinsonism;malignant neuroleptic syndrome;other drug-induced secondary parkinsonism;secondary parkinsonism due to other external agents;postencephalitic parkinsonism;vascular parkinsonism;other secondary parkinsonism;secondary parkinsonism, unspecified",secondary parkinsonism,81.0
518,518,515,F02,Eribulin,dementia in diseases classified elsewhere,dementia in other diseases classified elsewhere;dementia in pick's disease;dementia in creutzfeldt-jakob disease;dementia in huntington's disease;dementia in parkinson's disease;dementia in human immunodeficiency virus [hiv] disease;dementia in other specified diseases classified elsewhere,dementia in diseases classified elsewhere,0.0
519,519,516,B24,Cyproheptadine,unspecified human immunodeficiency virus [hiv] disease,unspecified human immunodeficiency virus [hiv] disease,human immunodeficiency virus [hiv] disease,8.0
520,520,517,J81,Abiraterone,pulmonary oedema,pulmonary oedema,pulmonary oedema,1.0
521,521,518,N03,Etizolam,chronic nephritic syndrome,chronic nephritic syndrome;minor glomerular abnormality;focal and segmental glomerular lesions;diffuse membranous glomerulonephritis;diffuse mesangial proliferative glomerulonephritis;diffuse endocapillary proliferative glomerulonephritis;diffuse mesangiocapillary glomerulonephritis;dense deposit disease;diffuse crescentic glomerulonephritis;other;unspecified,chronic nephritic syndrome,0.0
522,522,519,L89,Carteolol,decubitus ulcer,"decubitus ulcer;stage i decubitus ulcer and pressure area;stage ii decubitus ulcer;stage iii decubitus ulcer;stage iv decubitus ulcer;decubitus ulcer and pressure area, unspecified",decubitus ulcer,0.0
523,523,520,F39,Thiopental,unspecified mood [affective] disorder,unspecified mood [affective] disorder,mood [affective] disorder,74.0
524,524,521,F05,Polaprezinc,"delirium, not induced by alcohol and psychoactive substances","delirium, not induced by alcohol and other psychoactive substances;delirium not superimposed on dementia, so described;delirium superimposed on dementia;other delirium;delirium, unspecified",delirium,0.0
525,525,522,N08,Loxoprofen,glomerular disorders in diseases classified elsewhere,"glomerular disorders in diseases classified elsewhere;glomerular disorders in infectious and parasitic diseases classified elsewhere;glomerular disorders in neoplastic diseases;glomerular disorders in blood diseases and disorders involving the immune mechanism;glomerular disorders in diabetes mellitus;glomerular disorders in other endocrine, nutritional and metabolic diseases;glomerular disorders in systemic connective tissue disorders;glomerular disorders in other diseases classified elsewhere",glomerular disorders in diseases classified elsewhere,0.0
526,526,523,B47,Trastuzumab,mycetoma,"mycetoma;eumycetoma;actinomycetoma;mycetoma, unspecified",mycetoma,0.0
527,527,524,J80,Nitroprusside,adult respiratory distress syndrome,adult respiratory distress syndrome,adult respiratory distress syndrome,42.0
528,528,525,B55,Bupivacaine,leishmaniasis,"leishmaniasis;visceral leishmaniasis;cutaneous leishmaniasis;mucocutaneous leishmaniasis;leishmaniasis, unspecified",leishmaniasis,1.0
529,529,526,L70,Fludeoxyglucose F-18,acne,"acne;acne vulgaris;acne conglobata;acne varioliformis;acne tropica;infantile acne;acne excoriee des jeunes filles;other acne;acne, unspecified",acne,14.0
530,530,527,L28,Levomethadyl Acetate,lichen simplex chronicus and prurigo,lichen simplex chronicus and prurigo;lichen simplex chronicus;prurigo nodularis;other prurigo,lichen simplex chronicus and prurigo,0.0
531,531,528,M71,Methionine,bursopathies,"other bursopathies;abscess of bursa;other infective bursitis;synovial cyst of popliteal space [baker];other bursal cyst;calcium deposit in bursa;other bursitis, not elsewhere classified;other specified bursopathies;bursopathy, unspecified",bursopathies,0.0
532,532,529,M35,Tropicamide,systemic involvement of connective tissue,"other systemic involvement of connective tissue;sicca syndrome [sjogren];other overlap syndromes;behcet's disease;polymyalgia rheumatica;diffuse (eosinophilic) fasciitis;multifocal fibrosclerosis;relapsing panniculitis [weber-christian];hypermobility syndrome;other specified systemic involvement of connective tissue;systemic involvement of connective tissue, unspecified",systemic involvement of connective tissue,0.0
533,533,530,L65,Darifenacin,nonscarring hair loss,"other nonscarring hair loss;telogen effluvium;anagen effluvium;alopecia mucinosa;other specified nonscarring hair loss;nonscarring hair loss, unspecified",nonscarring hair loss,0.0
