,Trajectory,Drug,Disease list,Disease Consensus Name List
793,239,Miconazole,"['E21', 'N18', 'N19', 'N17']","['hyperparathyroidism and disorders of parathyroid gland', 'chronic renal failure', 'renal failure', 'acute renal failure']"
794,411,Trilostane,"['G95', 'M41', 'M42', 'M43', 'M48', 'M62', 'G54', 'M47', 'M51', 'M54', 'M93', 'M96']","['diseases of spinal cord', 'scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'spondylopathies', 'disorders of muscle', 'nerve root and plexus disorders', 'spondylosis', 'intervertebral disk disorders', 'dorsalgia', 'osteochondropathies', 'postprocedural musculoskeletal disorders']"
795,231,Prasterone,"['M71', 'M93']","['bursopathies', 'osteochondropathies']"
796,364,Arformoterol,"['E14', 'E16', 'I79', 'L03', 'M86', 'N08']","['diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere', 'cellulitis', 'osteomyelitis', 'glomerular disorders in diseases classified elsewhere']"
797,148_222,Chloroquine,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']"
798,441,Nimodipine,"['M19', 'M20', 'M77']","['arthrosis', 'acquired deformities of fingers and toes', 'enthesopathies']"
799,121,Danazol,"['F14', 'F11']","['mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of opioids']"
800,208,Benzatropine,"['E78', 'E79', 'G45', 'I20', 'I21', 'I44', 'I51', 'M41']","['disorders of lipoprotein metabolism and lipidaemias', 'disorders of purine and pyrimidine metabolism', 'transient cerebral ischaemic attacks and related syndromes', 'angina pectoris', 'acute myocardial infarction', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease', 'scoliosis']"
801,51,Ribociclib,"['I10', 'N18']","['essential (primary) hypertension', 'chronic renal failure']"
802,49,Alfuzosin,"['J96', 'G40', 'G41']","['respiratory failure', 'epilepsy', 'status epilepticus']"
803,126,Amcinonide,"['G40', 'G93', 'G41']","['epilepsy', 'disorders of brain', 'status epilepticus']"
804,120,"Antihemophilic factor, human recombinant","['F31', 'F10', 'K70']","['bipolar affective disorder', 'mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']"
805,193,Albendazole,"['M51', 'M43', 'M48', 'G54', 'G57', 'M40', 'M54', 'M96']","['intervertebral disk disorders', 'deforming dorsopathies', 'spondylopathies', 'nerve root and plexus disorders', 'mononeuropathies of lower limb', 'kyphosis and lordosis', 'dorsalgia', 'postprocedural musculoskeletal disorders']"
806,324,Bumetanide,"['N00', 'D46', 'E53', 'F05', 'G31', 'H49', 'I10', 'I12', 'I13', 'I62', 'I99', 'J02', 'J04', 'J30', 'J41', 'J42', 'J69', 'K20', 'K73', 'K75', 'L29', 'M10', 'M40', 'M46', 'N10', 'D26', 'E24', 'L73']","['acute nephritic syndrome', 'myelodysplastic syndromes', 'deficiency of b group vitamins', 'delirium', 'degenerative diseases of nervous system', 'paralytic strabismus', 'essential (primary) hypertension', 'hypertensive renal disease', 'hypertensive heart and renal disease', 'nontraumatic intracranial haemorrhage', 'disorders of circulatory system', 'acute pharyngitis', 'acute laryngitis and tracheitis', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'chronic bronchitis', 'pneumonitis due to solids and liquids', 'oesophagitis', 'chronic hepatitis', 'inflammatory liver diseases', 'pruritus', 'gout', 'kyphosis and lordosis', 'inflammatory spondylopathies', 'acute tubulo-interstitial nephritis', 'benign neoplasms of uterus', ""cushing's syndrome"", 'follicular disorders']"
807,39,Cytisine,"['E10', 'E16', 'E06', 'E14']","['insulin-dependent diabetes mellitus', 'disorders of pancreatic internal secretion', 'thyroiditis', 'diabetes mellitus']"
808,210,Aldesleukin,"['I67', 'I72']","['cerebrovascular diseases', 'aneurysm']"
809,69,Fludeoxyglucose F-18,"['K66', 'N73', 'N80', 'N94']","['disorders of peritoneum', 'female pelvic inflammatory diseases', 'endometriosis', 'pain and conditions associated with female genital organs and menstrual cycle']"
810,327,Calcium Citrate,"['N35', 'N39', 'N76', 'G83', 'N30']","['urethral stricture', 'disorders of urinary system', 'inflammation of vagina and vulva', 'paralytic syndromes', 'cystitis']"
811,167,Canakinumab,"['C53', 'D06', 'C54', 'C55', 'N87']","['malignant neoplasm of cervix uteri', 'carcinoma in situ of cervix uteri', 'malignant neoplasm of corpus uteri', 'malignant neoplasm of uterus, part', 'dysplasia of cervix uteri']"
812,184,Vitamin E,"['F48', 'G25', 'G47']","['neurotic disorders', 'extrapyramidal and movement disorders', 'sleep disorders']"
813,40,Cisapride,"['E66', 'E78', 'F17', 'I10', 'K76', 'K80']","['obesity', 'disorders of lipoprotein metabolism and lipidaemias', 'mental and behavioural disorders due to use of tobacco', 'essential (primary) hypertension', 'diseases of liver', 'cholelithiasis']"
814,382,Glycine betaine,"['G93', 'I46']","['disorders of brain', 'cardiac arrest']"
815,438,Telaprevir,"['K85', 'K86', 'C23', 'K80', 'K81', 'K82']","['acute pancreatitis', 'diseases of pancreas', 'malignant neoplasm of gallbladder', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
816,296,Tolazoline,"['I12', 'N18', 'N25']","['hypertensive renal disease', 'chronic renal failure', 'disorders resulting from impaired renal tubular function']"
817,438,Zuclopenthixol,"['K85', 'K86', 'C23', 'K80', 'K81', 'K82']","['acute pancreatitis', 'diseases of pancreas', 'malignant neoplasm of gallbladder', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
818,32,Homosalate,"['N11', 'N30', 'N35', 'N39', 'N76']","['chronic tubulo-interstitial nephritis', 'cystitis', 'urethral stricture', 'disorders of urinary system', 'inflammation of vagina and vulva']"
819,78,Nalmefene,"['F32', 'F42', 'I95']","['depressive episode', 'obsessive-compulsive disorder', 'hypotension']"
820,242,Insulin Detemir,"['N97', 'D13', 'K80', 'K81', 'K82']","['female infertility', 'benign neoplasm of ill-defined parts of digestive system', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
821,60,Isavuconazole,"['M41', 'M51', 'M54']","['scoliosis', 'intervertebral disk disorders', 'dorsalgia']"
822,156,Efonidipine,"['E21', 'N18', 'N19', 'I15', 'N17']","['hyperparathyroidism and disorders of parathyroid gland', 'chronic renal failure', 'renal failure', 'secondary hypertension', 'acute renal failure']"
823,434,Galantamine,"['A49', 'I25', 'I31', 'I48', 'I50', 'I62', 'I72', 'J42', 'J81', 'M10']","['bacterial infection of site', 'chronic ischaemic heart disease', 'diseases of pericardium', 'atrial fibrillation and flutter', 'heart failure', 'nontraumatic intracranial haemorrhage', 'aneurysm', 'chronic bronchitis', 'pulmonary oedema', 'gout']"
824,358,Vitamin D,"['L25', 'D53', 'N39', 'N76']","['contact dermatitis', 'nutritional anaemias', 'disorders of urinary system', 'inflammation of vagina and vulva']"
825,203,Cinolazepam,"['I20', 'I21', 'I25', 'I42', 'I50', 'I44', 'I51']","['angina pectoris', 'acute myocardial infarction', 'chronic ischaemic heart disease', 'cardiomyopathy', 'heart failure', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease']"
826,284,Chlorphenamine,"['G93', 'G40', 'G41']","['disorders of brain', 'epilepsy', 'status epilepticus']"
827,428,Heroin,"['F03', 'F13', 'F20', 'F22', 'G31']","['dementia', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'schizophrenia', 'persistent delusional disorders', 'degenerative diseases of nervous system']"
828,120,Pentoxyverine,"['F31', 'F10', 'K70']","['bipolar affective disorder', 'mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']"
829,193,Nevirapine,"['M51', 'M43', 'M48', 'G54', 'G57', 'M40', 'M54', 'M96']","['intervertebral disk disorders', 'deforming dorsopathies', 'spondylopathies', 'nerve root and plexus disorders', 'mononeuropathies of lower limb', 'kyphosis and lordosis', 'dorsalgia', 'postprocedural musculoskeletal disorders']"
830,179,Lutetium Lu 177 dotatate,"['E13', 'E11', 'G63', 'L03', 'M86', 'N08']","['specified diabetes mellitus', 'non-insulin-dependent diabetes mellitus', 'polyneuropathy in diseases classified elsewhere', 'cellulitis', 'osteomyelitis', 'glomerular disorders in diseases classified elsewhere']"
831,383_412,Atenolol,"['G95', 'M48']","['diseases of spinal cord', 'spondylopathies']"
832,201,Sapropterin,"['M35', 'I10', 'I11', 'I15', 'I27', 'I35', 'I44', 'I51', 'I74', 'I77', 'J15', 'L30', 'M13']","['systemic involvement of connective tissue', 'essential (primary) hypertension', 'hypertensive heart disease', 'secondary hypertension', 'pulmonary heart diseases', 'nonrheumatic aortic valve disorders', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease', 'arterial embolism and thrombosis', 'disorders of arteries and arterioles', 'bacterial pneumonia', 'dermatitis', 'arthritis']"
833,95,Darifenacin,"['B37', 'K59']","['candidiasis', 'functional intestinal disorders']"
834,423,Dapsone,"['H34', 'D31', 'H04', 'H11', 'H16', 'H25', 'H27', 'H44']","['retinal vascular occlusions', 'benign neoplasm of eye and adnexa', 'disorders of lachrymal system', 'disorders of conjunctiva', 'keratitis', 'senile cataract', 'disorders of lens', 'disorders of globe']"
835,230,Cevimeline,"['M71', 'M93', 'M94']","['bursopathies', 'osteochondropathies', 'disorders of cartilage']"
836,334,Histamine,"['N39', 'D72', 'N32', 'N35']","['disorders of urinary system', 'disorders of white blood cells', 'disorders of bladder', 'urethral stricture']"
837,89,Grepafloxacin,"['G35', 'H46', 'F32', 'F34', 'F48']","['multiple sclerosis', 'optic neuritis', 'depressive episode', 'persistent mood [affective] disorders', 'neurotic disorders']"
838,208,Sevoflurane,"['E78', 'E79', 'G45', 'I20', 'I21', 'I44', 'I51', 'M41']","['disorders of lipoprotein metabolism and lipidaemias', 'disorders of purine and pyrimidine metabolism', 'transient cerebral ischaemic attacks and related syndromes', 'angina pectoris', 'acute myocardial infarction', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease', 'scoliosis']"
839,377,Demecarium,"['G81', 'G40', 'G41']","['hemiplegia', 'epilepsy', 'status epilepticus']"
840,242,Methyclothiazide,"['N97', 'D13', 'K80', 'K81', 'K82']","['female infertility', 'benign neoplasm of ill-defined parts of digestive system', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
841,12,Mesoridazine,"['D64', 'D69', 'D70']","['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']"
842,279,Omega-3 fatty acids,"['F06', 'F48', 'F32', 'F40', 'F44', 'D16', 'F11', 'F22', 'F51', 'J00', 'J37', 'L28', 'N89']","['mental disorders due to brain damage and dysfunction and to physical disease', 'neurotic disorders', 'depressive episode', 'phobic anxiety disorders', 'dissociative [conversion] disorders', 'benign neoplasm of bone and articular cartilage', 'mental and behavioural disorders due to use of opioids', 'persistent delusional disorders', 'sleep disorders', 'acute nasopharyngitis [common cold]', 'chronic laryngitis and laryngotracheitis', 'lichen simplex chronicus and prurigo', 'noninflammatory disorders of vagina']"
843,300,Abemaciclib,"['I70', 'I77']","['atherosclerosis', 'disorders of arteries and arterioles']"
844,122,Irinotecan,"['F17', 'J20', 'J44', 'J43', 'J96']","['mental and behavioural disorders due to use of tobacco', 'acute bronchitis', 'chronic obstructive pulmonary disease', 'emphysema', 'respiratory failure']"
845,48,Hydromorphone,"['F60', 'F91']","['specific personality disorders', 'conduct disorders']"
846,44,Seratrodast,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']"
847,20,Blonanserin,"['F98', 'J11', 'J38', 'L50']","['behavioural and emotional disorders with onset usually occurring in childhood and adolescence', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
848,176,Pazopanib,"['D53', 'F10', 'G62', 'I85', 'K74', 'F12']","['nutritional anaemias', 'mental and behavioural disorders due to use of alcohol', 'polyneuropathies', 'oesophageal varices', 'fibrosis and cirrhosis of liver', 'mental and behavioural disorders due to use of cannabinoids']"
849,65_103,Fluciclovine (18F),"['B18', 'F10', 'F11', 'F12', 'F13', 'F14', 'F19']","['chronic viral hepatitis', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']"
850,219,Lenvatinib,"['D21', 'D25', 'K66', 'N73', 'N80', 'N83', 'N84', 'N85', 'N88', 'N92', 'N94']","['benign neoplasms of connective and soft tissue', 'leiomyoma of uterus', 'disorders of peritoneum', 'female pelvic inflammatory diseases', 'endometriosis', 'noninflammatory disorders of ovary, fallopian tube and broad ligament', 'polyp of female genital tract', 'noninflammatory disorders of uterus, except cervix', 'noninflammatory disorders of cervix uteri', 'excessive, frequent and irregular menstruation', 'pain and conditions associated with female genital organs and menstrual cycle']"
851,126,Alteplase,"['G40', 'G93', 'G41']","['epilepsy', 'disorders of brain', 'status epilepticus']"
852,204,Dapsone,"['I25', 'I42', 'I50', 'I44', 'I51']","['chronic ischaemic heart disease', 'cardiomyopathy', 'heart failure', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease']"
853,184,Guanidine,"['F48', 'G25', 'G47']","['neurotic disorders', 'extrapyramidal and movement disorders', 'sleep disorders']"
854,44,Octocrylene,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']"
855,284,Quetiapine,"['G93', 'G40', 'G41']","['disorders of brain', 'epilepsy', 'status epilepticus']"
856,89,Coccidioides immitis spherule,"['G35', 'H46', 'F32', 'F34', 'F48']","['multiple sclerosis', 'optic neuritis', 'depressive episode', 'persistent mood [affective] disorders', 'neurotic disorders']"
857,274,Insulin Detemir,"['E16', 'E10', 'E13', 'G63']","['disorders of pancreatic internal secretion', 'insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'polyneuropathy in diseases classified elsewhere']"
858,403,Albendazole,"['I85', 'K70', 'K72', 'K74']","['oesophageal varices', 'alcoholic liver disease', 'hepatic failure', 'fibrosis and cirrhosis of liver']"
859,279,Tipranavir,"['F06', 'F48', 'F32', 'F40', 'F44', 'D16', 'F11', 'F22', 'F51', 'J00', 'J37', 'L28', 'N89']","['mental disorders due to brain damage and dysfunction and to physical disease', 'neurotic disorders', 'depressive episode', 'phobic anxiety disorders', 'dissociative [conversion] disorders', 'benign neoplasm of bone and articular cartilage', 'mental and behavioural disorders due to use of opioids', 'persistent delusional disorders', 'sleep disorders', 'acute nasopharyngitis [common cold]', 'chronic laryngitis and laryngotracheitis', 'lichen simplex chronicus and prurigo', 'noninflammatory disorders of vagina']"
860,438,Grepafloxacin,"['K85', 'K86', 'C23', 'K80', 'K81', 'K82']","['acute pancreatitis', 'diseases of pancreas', 'malignant neoplasm of gallbladder', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
861,219,Enzalutamide,"['D21', 'D25', 'K66', 'N73', 'N80', 'N83', 'N84', 'N85', 'N88', 'N92', 'N94']","['benign neoplasms of connective and soft tissue', 'leiomyoma of uterus', 'disorders of peritoneum', 'female pelvic inflammatory diseases', 'endometriosis', 'noninflammatory disorders of ovary, fallopian tube and broad ligament', 'polyp of female genital tract', 'noninflammatory disorders of uterus, except cervix', 'noninflammatory disorders of cervix uteri', 'excessive, frequent and irregular menstruation', 'pain and conditions associated with female genital organs and menstrual cycle']"
862,403,Fluspirilene,"['I85', 'K70', 'K72', 'K74']","['oesophageal varices', 'alcoholic liver disease', 'hepatic failure', 'fibrosis and cirrhosis of liver']"
863,47,Eltrombopag,"['F41', 'F45']","['anxiety disorders', 'somatoform disorders']"
864,193,Ertugliflozin,"['M51', 'M43', 'M48', 'G54', 'G57', 'M40', 'M54', 'M96']","['intervertebral disk disorders', 'deforming dorsopathies', 'spondylopathies', 'nerve root and plexus disorders', 'mononeuropathies of lower limb', 'kyphosis and lordosis', 'dorsalgia', 'postprocedural musculoskeletal disorders']"
865,383_412,Canakinumab,"['G95', 'M48']","['diseases of spinal cord', 'spondylopathies']"
866,242,Phenyl salicylate,"['N97', 'D13', 'K80', 'K81', 'K82']","['female infertility', 'benign neoplasm of ill-defined parts of digestive system', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']"
867,236,Demecarium,"['N04', 'A69', 'B99', 'E07', 'I10', 'I31', 'I46', 'I71', 'J03', 'J30', 'J41', 'J42', 'J81', 'J84', 'K55', 'K75', 'L50', 'L98', 'M86', 'N30', 'E26', 'N03']","['nephrotic syndrome', 'spirochaetal infections', 'infectious diseases', 'disorders of thyroid', 'essential (primary) hypertension', 'diseases of pericardium', 'cardiac arrest', 'aortic aneurysm and dissection', 'acute tonsillitis', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'chronic bronchitis', 'pulmonary oedema', 'interstitial pulmonary diseases', 'vascular disorders of intestine', 'inflammatory liver diseases', 'urticaria', 'disorders of skin and subcutaneous tissue', 'osteomyelitis', 'cystitis', 'hyperaldosteronism', 'chronic nephritic syndrome']"
868,219,Clobetasol propionate,"['D21', 'D25', 'K66', 'N73', 'N80', 'N83', 'N84', 'N85', 'N88', 'N92', 'N94']","['benign neoplasms of connective and soft tissue', 'leiomyoma of uterus', 'disorders of peritoneum', 'female pelvic inflammatory diseases', 'endometriosis', 'noninflammatory disorders of ovary, fallopian tube and broad ligament', 'polyp of female genital tract', 'noninflammatory disorders of uterus, except cervix', 'noninflammatory disorders of cervix uteri', 'excessive, frequent and irregular menstruation', 'pain and conditions associated with female genital organs and menstrual cycle']"
869,387,Niflumic Acid,"['H40', 'H47']","['glaucoma', 'disorders of optic [2nd] nerve and visual pathways']"
870,382,Trabectedin,"['G93', 'I46']","['disorders of brain', 'cardiac arrest']"
871,122,Clopidogrel,"['F17', 'J20', 'J44', 'J43', 'J96']","['mental and behavioural disorders due to use of tobacco', 'acute bronchitis', 'chronic obstructive pulmonary disease', 'emphysema', 'respiratory failure']"
872,147,Baricitinib,"['K76', 'N28', 'B37']","['diseases of liver', 'disorders of kidney and ureter', 'candidiasis']"
873,122,Diphenylpyraline,"['F17', 'J20', 'J44', 'J43', 'J96']","['mental and behavioural disorders due to use of tobacco', 'acute bronchitis', 'chronic obstructive pulmonary disease', 'emphysema', 'respiratory failure']"
874,335,Desmopressin,"['B36', 'C15', 'C23', 'C32', 'C51', 'C52', 'C69', 'C76', 'D03', 'D31', 'D46', 'D59', 'D89', 'E20', 'E46', 'E53', 'E72', 'F05', 'F09', 'G12', 'G24', 'G31', 'G90', 'H01', 'H21', 'H31', 'H49', 'H57', 'I06', 'I22', 'I33', 'I81', 'J11', 'J12', 'K06', 'K14', 'K41', 'K46', 'L08', 'L24', 'L53', 'L82', 'L84', 'L85', 'M00', 'M11', 'N32', 'N36']","['superficial mycoses', 'malignant neoplasm of oesophagus', 'malignant neoplasm of gallbladder', 'malignant neoplasm of larynx', 'malignant neoplasm of vulva', 'malignant neoplasm of vagina', 'malignant neoplasm of eye and adnexa', 'malignant neoplasm of ill-defined sites', 'melanoma in situ', 'benign neoplasm of eye and adnexa', 'myelodysplastic syndromes', 'acquired haemolytic anaemia', 'disorders involving the immune mechanism', 'hypoparathyroidism', 'protein-energy malnutrition', 'deficiency of b group vitamins', 'disorders of amino-acid metabolism', 'delirium', 'organic or symptomatic mental disorder', 'spinal muscular atrophy and related syndromes', 'dystonia', 'degenerative diseases of nervous system', 'disorders of autonomic nervous system', 'inflammation of eyelid', 'disorders of iris and ciliary body', 'disorders of choroid', 'paralytic strabismus', 'disorders of eye and adnexa', 'rheumatic aortic valve diseases', 'subsequent myocardial infarction', 'acute and subacute endocarditis', 'portal vein thrombosis', 'influenza virus', 'viral pneumonia', 'disorders of gingiva and edentulous alveolar ridge', 'diseases of tongue', 'femoral hernia', 'abdominal hernia', 'local infections of skin and subcutaneous tissue', 'irritant contact dermatitis', 'erythematous conditions', 'seborrhoeic keratosis', 'corns and callosities', 'epidermal thickening', 'pyogenic arthritis', 'crystal arthropathies', 'disorders of bladder', 'disorders of urethra']"
875,249,Rasagiline,"['C22', 'C38', 'C49', 'C78', 'D61']","['malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of heart, mediastinum and pleura', 'malignant neoplasm of connective and soft tissue', 'secondary malignant neoplasm of respiratory and digestive organs', 'aplastic anaemias']"
876,123,Reserpine,"['F33', 'F40', 'F42']","['recurrent depressive disorder', 'phobic anxiety disorders', 'obsessive-compulsive disorder']"
877,403,Trimebutine,"['I85', 'K70', 'K72', 'K74']","['oesophageal varices', 'alcoholic liver disease', 'hepatic failure', 'fibrosis and cirrhosis of liver']"
878,117,Ephedrine,"['E10', 'E14', 'E11']","['insulin-dependent diabetes mellitus', 'diabetes mellitus', 'non-insulin-dependent diabetes mellitus']"
879,342_420,Morphine,"['C43', 'C44', 'L57']","['malignant melanoma of skin', 'malignant neoplasms of skin', 'skin changes due to chronic exposure to nonionising radiation']"
880,52,Collagenase clostridium histolyticum,"['J20', 'J00']","['acute bronchitis', 'acute nasopharyngitis [common cold]']"
881,65_103,Methoxamine,"['B18', 'F10', 'F11', 'F12', 'F13', 'F14', 'F19']","['chronic viral hepatitis', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']"
882,20,Cyproheptadine,"['F98', 'J11', 'J38', 'L50']","['behavioural and emotional disorders with onset usually occurring in childhood and adolescence', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']"
883,74,Prucalopride,"['E06', 'E10', 'E14', 'E16']","['thyroiditis', 'insulin-dependent diabetes mellitus', 'diabetes mellitus', 'disorders of pancreatic internal secretion']"
884,167,Fludiazepam,"['C53', 'D06', 'C54', 'C55', 'N87']","['malignant neoplasm of cervix uteri', 'carcinoma in situ of cervix uteri', 'malignant neoplasm of corpus uteri', 'malignant neoplasm of uterus, part', 'dysplasia of cervix uteri']"
885,236,Fenofibric acid,"['N04', 'A69', 'B99', 'E07', 'I10', 'I31', 'I46', 'I71', 'J03', 'J30', 'J41', 'J42', 'J81', 'J84', 'K55', 'K75', 'L50', 'L98', 'M86', 'N30', 'E26', 'N03']","['nephrotic syndrome', 'spirochaetal infections', 'infectious diseases', 'disorders of thyroid', 'essential (primary) hypertension', 'diseases of pericardium', 'cardiac arrest', 'aortic aneurysm and dissection', 'acute tonsillitis', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'chronic bronchitis', 'pulmonary oedema', 'interstitial pulmonary diseases', 'vascular disorders of intestine', 'inflammatory liver diseases', 'urticaria', 'disorders of skin and subcutaneous tissue', 'osteomyelitis', 'cystitis', 'hyperaldosteronism', 'chronic nephritic syndrome']"
886,44,Levallorphan,"['F11', 'F13', 'F19']","['mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']"
887,278,Oxyphencyclimine,"['F10', 'F19', 'D52', 'G93', 'I46', 'K26', 'M80']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'folate deficiency anaemia', 'disorders of brain', 'cardiac arrest', 'duodenal ulcer', 'osteoporosis with pathological fracture']"
888,278,"Antihemophilic factor, human recombinant","['F10', 'F19', 'D52', 'G93', 'I46', 'K26', 'M80']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'folate deficiency anaemia', 'disorders of brain', 'cardiac arrest', 'duodenal ulcer', 'osteoporosis with pathological fracture']"
889,115,Naphazoline,"['D50', 'D64', 'E03', 'K51', 'E06']","['iron deficiency anaemia', 'anaemias', 'hypothyroidism', 'ulcerative colitis', 'thyroiditis']"
890,148_222,Testosterone undecanoate,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']"
891,236,Busulfan,"['N04', 'A69', 'B99', 'E07', 'I10', 'I31', 'I46', 'I71', 'J03', 'J30', 'J41', 'J42', 'J81', 'J84', 'K55', 'K75', 'L50', 'L98', 'M86', 'N30', 'E26', 'N03']","['nephrotic syndrome', 'spirochaetal infections', 'infectious diseases', 'disorders of thyroid', 'essential (primary) hypertension', 'diseases of pericardium', 'cardiac arrest', 'aortic aneurysm and dissection', 'acute tonsillitis', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'chronic bronchitis', 'pulmonary oedema', 'interstitial pulmonary diseases', 'vascular disorders of intestine', 'inflammatory liver diseases', 'urticaria', 'disorders of skin and subcutaneous tissue', 'osteomyelitis', 'cystitis', 'hyperaldosteronism', 'chronic nephritic syndrome']"
892,377,Fluconazole,"['G81', 'G40', 'G41']","['hemiplegia', 'epilepsy', 'status epilepticus']"
893,237,Triamterene,"['N35', 'N39', 'N76', 'N81', 'N10', 'N30']","['urethral stricture', 'disorders of urinary system', 'inflammation of vagina and vulva', 'female genital prolapse', 'acute tubulo-interstitial nephritis', 'cystitis']"
894,279,Thimerosal,"['F06', 'F48', 'F32', 'F40', 'F44', 'D16', 'F11', 'F22', 'F51', 'J00', 'J37', 'L28', 'N89']","['mental disorders due to brain damage and dysfunction and to physical disease', 'neurotic disorders', 'depressive episode', 'phobic anxiety disorders', 'dissociative [conversion] disorders', 'benign neoplasm of bone and articular cartilage', 'mental and behavioural disorders due to use of opioids', 'persistent delusional disorders', 'sleep disorders', 'acute nasopharyngitis [common cold]', 'chronic laryngitis and laryngotracheitis', 'lichen simplex chronicus and prurigo', 'noninflammatory disorders of vagina']"
895,28,Hydrochlorothiazide,"['J30', 'J45', 'J46']","['vasomotor and allergic rhinitis', 'asthma', 'status asthmaticus']"
896,184,Ponatinib,"['F48', 'G25', 'G47']","['neurotic disorders', 'extrapyramidal and movement disorders', 'sleep disorders']"
897,382,Novobiocin,"['G93', 'I46']","['disorders of brain', 'cardiac arrest']"
898,166,Loxapine,"['C82', 'C83', 'C85']","[""follicular [nodular] non-hodgkin's lymphoma"", ""diffuse non-hodgkin's lymphoma"", ""specified types of non-hodgkin's lymphoma""]"
899,32,Technetium Tc-99m sestamibi,"['N11', 'N30', 'N35', 'N39', 'N76']","['chronic tubulo-interstitial nephritis', 'cystitis', 'urethral stricture', 'disorders of urinary system', 'inflammation of vagina and vulva']"
900,206,Bambuterol,"['I42', 'I50', 'I44']","['cardiomyopathy', 'heart failure', 'atrioventricular and left bundle-branch block']"
901,12,Promazine,"['D64', 'D69', 'D70']","['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']"
902,122,Formoterol,"['F17', 'J20', 'J44', 'J43', 'J96']","['mental and behavioural disorders due to use of tobacco', 'acute bronchitis', 'chronic obstructive pulmonary disease', 'emphysema', 'respiratory failure']"
903,121,Nitrendipine,"['F14', 'F11']","['mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of opioids']"
904,350,Piperazine,"['C38', 'C78', 'C79', 'C80', 'D61', 'D63', 'D70', 'M84', 'C23', 'D48']","['malignant neoplasm of heart, mediastinum and pleura', 'secondary malignant neoplasm of respiratory and digestive organs', 'secondary malignant neoplasm of specified sites', 'malignant neoplasm', 'aplastic anaemias', 'anaemia in chronic diseases classified elsewhere', 'agranulocytosis', 'disorders of continuity of bone', 'malignant neoplasm of gallbladder', 'neoplasm of uncertain or unknown behaviour of sites']"
