ICD	Disease Name	Consensus Name	PubMed_query_name
G01	meningitis in bacterial diseases classified elsewhere	meningitis in bacterial diseases classified elsewhere	meningitis in bacterial diseases classified elsewhere
G02	meningitis in other infectious and parasitic diseases classified elsewhere;meningitis in viral diseases classified elsewhere;meningitis in mycoses;meningitis in other specified infectious and parasitic diseases classified elsewhere	meningitis in infectious and parasitic diseases classified elsewhere	meningitis in infectious and parasitic diseases classified elsewhere
G03	"meningitis due to other and unspecified causes;nonpyogenic meningitis;chronic meningitis;benign recurrent meningitis [mollaret];meningitis due to other specified causes;meningitis, unspecified"	meningitis due to specified causes	meningitis due to specified causes
G04	"encephalitis, myelitis and encephalomyelitis;acute disseminated encephalitis;tropical spastic paraplegia;bacterial meningoencephalitis and meningomyelitis, not elsewhere classified;other encephalitis, myelitis and encephalomyelitis;encephalitis, myelitis and encephalomyelitis, unspecified"	"encephalitis, myelitis and encephalomyelitis"	"encephalitis, myelitis and encephalomyelitis"
G05	"encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere;encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere;encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere;encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere;encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere"	"encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"	"encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere"
G06	"intracranial and intraspinal abscess and granuloma;intracranial abscess and granuloma;intraspinal abscess and granuloma;extradural and subdural abscess, unspecified"	intracranial and intraspinal abscess and granuloma	intracranial and intraspinal abscess and granuloma
G07	intracranial and intraspinal abscess and granuloma in diseases classified elsewhere	intracranial and intraspinal abscess and granuloma in diseases classified elsewhere	intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
G08	intracranial and intraspinal phlebitis and thrombophlebitis	intracranial and intraspinal phlebitis and thrombophlebitis	intracranial and intraspinal phlebitis and thrombophlebitis
G09	sequelae of inflammatory diseases of central nervous system	sequelae of inflammatory diseases of central nervous system	sequelae of inflammatory diseases of central nervous system
G10	huntington's disease	huntington's disease	huntington's disease
G11	"hereditary ataxia;congenital nonprogressive ataxia;early-onset cerebellar ataxia;late-onset cerebellar ataxia;cerebellar ataxia with defective dna repair;hereditary spastic paraplegia;other hereditary ataxias;hereditary ataxia, unspecified"	hereditary ataxia	hereditary ataxia
G12	"spinal muscular atrophy and related syndromes;infantile spinal muscular atrophy, type i [werdnig-hoffman];other inherited spinal muscular atrophy;motor neuron disease;other spinal muscular atrophies and related syndromes;spinal muscular atrophy, unspecified"	spinal muscular atrophy and related syndromes	spinal muscular atrophy and related syndromes
G13	systemic atrophies primarily affecting central nervous system in diseases classified elsewhere;paraneoplastic neuromyopathy and neuropathy;other systemic atrophy primarily affecting central nervous system in neoplastic disease;systemic atrophy primarily affecting central nervous system in myxoedema;systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere	systemic atrophies primarily affecting central nervous system in diseases classified elsewhere	systemic atrophies primarily affecting central nervous system in diseases classified elsewhere
G14	postpolio syndrome	postpolio syndrome	postpolio syndrome
G20	parkinson's disease	parkinson's disease	parkinson's disease
G21	"secondary parkinsonism;malignant neuroleptic syndrome;other drug-induced secondary parkinsonism;secondary parkinsonism due to other external agents;postencephalitic parkinsonism;vascular parkinsonism;other secondary parkinsonism;secondary parkinsonism, unspecified"	secondary parkinsonism	secondary parkinsonism
G22	parkinsonism in diseases classified elsewhere	parkinsonism in diseases classified elsewhere	parkinsonism in diseases classified elsewhere
G23	"other degenerative diseases of basal ganglia;hallervorden-spatz disease;progressive supranuclear ophthalmoplegia [steele-richardson-olszewski];striatonigral degeneration;multiple system atrophy, cerebellar type;other specified degenerative diseases of basal ganglia;degenerative disease of basal ganglia, unspecified"	degenerative diseases of basal ganglia	degenerative diseases of basal ganglia
G24	"dystonia;drug-induced dystonia;idiopathic familial dystonia;idiopathic nonfamilial dystonia;spasmodic torticollis;idiopathic orofacial dystonia;blepharospasm;other dystonia;dystonia, unspecified"	dystonia	dystonia
G25	"other extrapyramidal and movement disorders;essential tremor;drug-induced tremor;other specified forms of tremor;myoclonus;drug-induced chorea;other chorea;drug-induced tics and other tics of organic origin;other specified extrapyramidal and movement disorders;extrapyramidal and movement disorder, unspecified"	extrapyramidal and movement disorders	extrapyramidal and movement disorders
G26	extrapyramidal and movement disorders in diseases classified elsewhere	extrapyramidal and movement disorders in diseases classified elsewhere	extrapyramidal and movement disorders in diseases classified elsewhere
G30	"alzheimer's disease;alzheimer's disease with early onset;alzheimer's disease with late onset;other alzheimer's disease;alzheimer's disease, unspecified"	alzheimer's disease	alzheimer's disease
G31	"other degenerative diseases of nervous system, not elsewhere classified;circumscribed brain atrophy;senile degeneration of brain, not elsewhere classified;degeneration of nervous system due to alcohol;other specified degenerative diseases of nervous system;degenerative disease of nervous system, unspecified"	"degenerative diseases of nervous system, not elsewhere classified"	degenerative diseases of nervous system
G32	other degenerative disorders of nervous system in diseases classified elsewhere;subacute combined degeneration of spinal cord in diseases classified elsewhere;other specified degenerative disorders of nervous system in diseases classified elsewhere	degenerative disorders of nervous system in diseases classified elsewhere	degenerative disorders of nervous system in diseases classified elsewhere
G35	multiple sclerosis	multiple sclerosis	multiple sclerosis
G36	"other acute disseminated demyelination;neuromyelitis optica [devic];acute and subacute haemorrhagic leukoencephalitis [hurst];other specified acute disseminated demyelination;acute disseminated demyelination, unspecified"	acute disseminated demyelination	acute disseminated demyelination
G37	"other demyelinating diseases of central nervous system;diffuse sclerosis;central demyelination of corpus callosum;central pontine myelinolysis;acute transverse myelitis in demyelinating disease of central nervous system;subacute necrotising myelitis;concentric sclerosis [balo];other specified demyelinating diseases of central nervous system;demyelinating disease of central nervous system, unspecified"	demyelinating diseases of central nervous system	demyelinating diseases of central nervous system
G40	"epilepsy;localisation-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localised onset;localisation-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures;localisation-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures;generalised idiopathic epilepsy and epileptic syndromes;other generalised epilepsy and epileptic syndromes;special epileptic syndromes;grand mal seizures, unspecified (with or without petit mal);petit mal, unspecified, without grand mal seizures;other epilepsy;epilepsy, unspecified"	epilepsy	epilepsy
G41	"status epilepticus;grand mal status epilepticus;petit mal status epilepticus;complex partial status epilepticus;other status epilepticus;status epilepticus, unspecified"	status epilepticus	status epilepticus
G43	"migraine;migraine without aura [common migraine];migraine with aura [classical migraine];status migrainosus;complicated migraine;other migraine;migraine, unspecified"	migraine	migraine
G44	"other headache syndromes;cluster headache syndrome;vascular headache, not elsewhere classified;tension-type headache;chronic posttraumatic headache;drug-induced headache, not elsewhere classified;other specified headache syndromes"	headache syndromes	headache syndromes
G45	"transient cerebral ischaemic attacks and related syndromes;vertebro-basilar artery syndrome;carotid artery syndrome (hemispheric);multiple and bilateral precerebral artery syndromes;amaurosis fugax;transient global amnesia;other transient cerebral ischaemic attacks and related syndromes;transient cerebral ischaemic attack, unspecified"	transient cerebral ischaemic attacks and related syndromes	transient cerebral ischaemic attacks and related syndromes
G46	vascular syndromes of brain in cerebrovascular diseases;middle cerebral artery syndrome;anterior cerebral artery syndrome;posterior cerebral artery syndrome;brain stem stroke syndrome;cerebellar stroke syndrome;pure motor lacunar syndrome;pure sensory lacunar syndrome;other lacunar syndromes;other vascular syndromes of brain in cerebrovascular diseases	vascular syndromes of brain in cerebrovascular diseases	vascular syndromes of brain in cerebrovascular diseases
G47	"sleep disorders;disorders of initiating and maintaining sleep [insomnias];disorders of excessive somnolence [hypersomnias];disorders of the sleep-wake schedule;sleep apnoea;narcolepsy and cataplexy;other sleep disorders;sleep disorder, unspecified"	sleep disorders	sleep disorders
G50	"disorders of trigeminal nerve;trigeminal neuralgia;atypical facial pain;other disorders of trigeminal nerve;disorder of trigeminal nerve, unspecified"	disorders of trigeminal nerve	disorders of trigeminal nerve
G51	"facial nerve disorders;bell's palsy;geniculate ganglionitis;melkersson's syndrome;clonic hemifacial spasm;facial myokymia;other disorders of facial nerve;disorder of facial nerve, unspecified"	facial nerve disorders	facial nerve disorders
G52	"disorders of other cranial nerves;disorders of olfactory nerve;disorders of glossopharyngeal nerve;disorders of vagus nerve;disorders of hypoglossal nerve;disorders of multiple cranial nerves;disorders of other specified cranial nerves;cranial nerve disorder, unspecified"	disorders of cranial nerves	disorders of cranial nerves
G53	cranial nerve disorders in diseases classified elsewhere;postzoster neuralgia;multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere;multiple cranial nerve palsies in sarcoidosis;multiple cranial nerve palsies in neoplastic disease;other cranial nerve disorders in other diseases classified elsewhere	cranial nerve disorders in diseases classified elsewhere	cranial nerve disorders in diseases classified elsewhere
G54	"nerve root and plexus disorders;brachial plexus disorders;lumbosacral plexus disorders;cervical root disorders, not elsewhere classified;thoracic root disorders, not elsewhere classified;lumbosacral root disorders, not elsewhere classified;neuralgic amyotrophy;phantom limb syndrome with pain;phantom limb syndrome without pain;other nerve root and plexus disorders;nerve root and plexus disorder, unspecified"	nerve root and plexus disorders	nerve root and plexus disorders
G55	nerve root and plexus compressions in diseases classified elsewhere;nerve root and plexus compressions in neoplastic disease;nerve root and plexus compressions in intervertebral disk disorders;nerve root and plexus compressions in spondylosis;nerve root and plexus compressions in other dorsopathies;nerve root and plexus compressions in other diseases classified elsewhere	nerve root and plexus compressions in diseases classified elsewhere	nerve root and plexus compressions in diseases classified elsewhere
G56	"mononeuropathies of upper limb;carpal tunnel syndrome;other lesions of median nerve;lesion of ulnar nerve;lesion of radial nerve;causalgia;other mononeuropathies of upper limb;mononeuropathy of upper limb, unspecified"	mononeuropathies of upper limb	mononeuropathies of upper limb
G57	"mononeuropathies of lower limb;lesion of sciatic nerve;meralgia paraesthetica;lesion of femoral nerve;lesion of lateral popliteal nerve;lesion of medial popliteal nerve;tarsal tunnel syndrome;lesion of plantar nerve;other mononeuropathies of lower limb;mononeuropathy of lower limb, unspecified"	mononeuropathies of lower limb	mononeuropathies of lower limb
G58	"other mononeuropathies;intercostal neuropathy;mononeuritis multiplex;other specified mononeuropathies;mononeuropathy, unspecified"	mononeuropathies	mononeuropathies
G59	mononeuropathy in diseases classified elsewhere;diabetic mononeuropathy;other mononeuropathies in diseases classified elsewhere	mononeuropathy in diseases classified elsewhere	mononeuropathy in diseases classified elsewhere
G60	"hereditary and idiopathic neuropathy;hereditary motor and sensory neuropathy;refsum's disease;neuropathy in association with hereditary ataxia;idiopathic progressive neuropathy;other hereditary and idiopathic neuropathies;hereditary and idiopathic neuropathy, unspecified"	hereditary and idiopathic neuropathy	hereditary and idiopathic neuropathy
G61	"inflammatory polyneuropathy;guillain-barre syndrome;serum neuropathy;other inflammatory polyneuropathies;inflammatory polyneuropathy, unspecified"	inflammatory polyneuropathy	inflammatory polyneuropathy
G62	"other polyneuropathies;drug-induced polyneuropathy;alcoholic polyneuropathy;polyneuropathy due to other toxic agents;other specified polyneuropathies;polyneuropathy, unspecified"	polyneuropathies	polyneuropathies
G63	polyneuropathy in diseases classified elsewhere;polyneuropathy in infectious and parasitic diseases classified elsewhere;polyneuropathy in neoplastic disease;diabetic polyneuropathy;polyneuropathy in other endocrine and metabolic diseases;polyneuropathy in nutritional deficiency;polyneuropathy in systemic connective tissue disorders;polyneuropathy in other musculoskeletal disorders;polyneuropathy in other diseases classified elsewhere	polyneuropathy in diseases classified elsewhere	polyneuropathy in diseases classified elsewhere
G64	other disorders of peripheral nervous system	disorders of peripheral nervous system	disorders of peripheral nervous system
G70	"myasthenia gravis and other myoneural disorders;myasthenia gravis;toxic myoneural disorders;congenital and developmental myasthenia;other specified myoneural disorders;myoneural disorder, unspecified"	myasthenia gravis and myoneural disorders	myasthenia gravis and myoneural disorders
G71	"primary disorders of muscles;muscular dystrophy;myotonic disorders;congenital myopathies;mitochondrial myopathy, not elsewhere classified;other primary disorders of muscles;primary disorder of muscle, unspecified"	primary disorders of muscles	primary disorders of muscles
G72	"other myopathies;drug-induced myopathy;alcoholic myopathy;myopathy due to other toxic agents;periodic paralysis;inflammatory myopathy, not elsewhere classified;other specified myopathies;myopathy, unspecified"	myopathies	myopathies
G73	disorders of myoneural junction and muscle in diseases classified elsewhere;myasthenic syndromes in endocrine diseases;eaton-lambert syndrome;other myasthenic syndromes in neoplastic disease;myasthenic syndromes in other diseases classified elsewhere;myopathy in infectious and parasitic diseases classified elsewhere;myopathy in endocrine diseases;myopathy in metabolic diseases;myopathy other diseases classified elsewhere	disorders of myoneural junction and muscle in diseases classified elsewhere	disorders of myoneural junction and muscle in diseases classified elsewhere
G80	"infantile cerebral palsy;spastic cerebral palsy;spastic diplegia;infantile hemiplegia;dyskinetic cerebral palsy;ataxic cerebral palsy;other infantile cerebral palsy;infantile cerebral palsy, unspecified"	infantile cerebral palsy	infantile cerebral palsy
G81	"hemiplegia;flaccid hemiplegia;spastic hemiplegia;hemiplegia, unspecified"	hemiplegia	hemiplegia
G82	"paraplegia and tetraplegia;flaccid paraplegia;spastic paraplegia;paraplegia, unspecified;flaccid tetraplegia;spastic tetraplegia;tetraplegia, unspecified"	paraplegia and tetraplegia	paraplegia and tetraplegia
G83	"other paralytic syndromes;diplegia of upper limbs;monoplegia of lower limb;monoplegia of upper limb;monoplegia, unspecified;cauda equina syndrome;locked-in syndrome;upper motor neuron facial paralysis;other specified paralytic syndromes;paralytic syndrome, unspecified"	paralytic syndromes	paralytic syndromes
G90	"disorders of autonomic nervous system;idiopathic peripheral autonomic neuropathy;familial dysautonomia [riley-day];horner's syndrome;multisystem degeneration;autonomic dysreflexia;complex regional pain syndrome type i;complex regional pain syndrome type ii;complex regional pain syndrome, other and unspecified type;other disorders of autonomic nervous system;disorder of autonomic nervous system, unspecified"	disorders of autonomic nervous system	disorders of autonomic nervous system
G91	"hydrocephalus;communicating hydrocephalus;obstructive hydrocephalus;normal-pressure hydrocephalus;posttraumatic hydrocephalus, unspecified;other hydrocephalus;hydrocephalus, unspecified"	hydrocephalus	hydrocephalus
G92	toxic encephalopathy	toxic encephalopathy	toxic encephalopathy
G93	"other disorders of brain;cerebral cysts;anoxic brain damage, not elsewhere classified;benign intracranial hypertension;postviral fatigue syndrome;encephalopathy, unspecified;compression of brain;cerebral oedema;reye's syndrome;other specified disorders of brain;disorder of brain, unspecified"	disorders of brain	disorders of brain
G94	other disorders of brain in diseases classified elsewhere;hydrocephalus in infectious and parasitic diseases classified elsewhere;hydrocephalus in neoplastic disease;hydrocephalus in other diseases classified elsewhere;encephalopathy in diseases classified elsewhere;other specified disorders of brain in diseases classified elsewhere	disorders of brain in diseases classified elsewhere	disorders of brain in diseases classified elsewhere
G95	"other diseases of spinal cord;syringomyelia and syringobulbia;vascular myelopathies;cord compression, unspecified;other specified diseases of spinal cord;disease of spinal cord, unspecified"	diseases of spinal cord	diseases of spinal cord
G96	"other disorders of central nervous system;cerebrospinal fluid leak;disorders of meninges, not elsewhere classified;other specified disorders of central nervous system;disorder of central nervous system, unspecified"	disorders of central nervous system	disorders of central nervous system
G97	"postprocedural disorders of nervous system, not elsewhere classified;cerebrospinal fluid leak from spinal puncture;other reaction to spinal and lumbar puncture;intracranial hypotension following ventricular shunting;other postprocedural disorders of nervous system;postprocedural disorder of nervous system, unspecified"	"postprocedural disorders of nervous system, not elsewhere classified"	postprocedural disorders of nervous system
G98	"other disorders of nervous system, not elsewhere classified"	"disorders of nervous system, not elsewhere classified"	disorders of nervous system
G99	other disorders of nervous system in diseases classified elsewhere;autonomic neuropathy in endocrine and metabolic diseases;other disorders of autonomic nervous system in other diseases classified elsewhere;myelopathy in diseases classified elsewhere;other specified disorders of nervous system in diseases classified elsewhere	disorders of nervous system in diseases classified elsewhere	disorders of nervous system in diseases classified elsewhere
H00	hordeolum and chalazion;hordeolum and other deep inflammation of eyelid;chalazion	hordeolum and chalazion	hordeolum and chalazion
H01	"other inflammation of eyelid;blepharitis;non-infectious dermatoses of eyelid;other specified inflammation of eyelid;inflammation of eyelid, unspecified"	inflammation of eyelid	inflammation of eyelid
H02	"other disorders of eyelid;entropion and trichiasis of eyelid;ectropion of eyelid;lagophthalmos;blepharochalasis;ptosis of eyelid;other disorders affecting eyelid function;xanthelasma of eyelid;other degenerative disorders of eyelid and periocular area;other specified disorders of eyelid;disorder of eyelid, unspecified"	disorders of eyelid	disorders of eyelid
H03	disorders of eyelid in diseases classified elsewhere;parasitic infestation of eyelid in diseases classified elsewhere;involvement of eyelid in other infectious diseases classified elsewhere;involvement of eyelid in other diseases classified elsewhere	disorders of eyelid in diseases classified elsewhere	disorders of eyelid in diseases classified elsewhere
H04	"disorders of lachrymal system;dacryoadenitis;other disorders of lachrymal gland;epiphora;acute and unspecified inflammation of lachrymal passages;chronic inflammation of lachrymal passages;stenosis and insufficiency of lachrymal passages;other changes in lachrymal passages;other disorders of lachrymal system;disorder of lachrymal system, unspecified"	disorders of lachrymal system	disorders of lachrymal system
H05	"disorders of orbit;acute inflammation of orbit;chronic inflammatory disorders of orbit;exophthalmic conditions;deformity of orbit;enophthalmos;retained (old) foreign body following penetrating wound of orbit;other disorders of orbit;disorder of orbit, unspecified"	disorders of orbit	disorders of orbit
H06	disorders of lachrymal system and orbit in diseases classified elsewhere;disorders of lachrymal system in diseases classified elsewhere;parasitic infestation of orbit in diseases classified elsewhere;dysthyroid exophthalmos;other disorders of orbit in diseases classified elsewhere	disorders of lachrymal system and orbit in diseases classified elsewhere	disorders of lachrymal system and orbit in diseases classified elsewhere
H10	"conjunctivitis;mucopurulent conjunctivitis;acute atopic conjunctivitis;other acute conjunctivitis;acute conjunctivitis, unspecified;chronic conjunctivitis;blepharoconjunctivitis;other conjunctivitis;conjunctivitis, unspecified"	conjunctivitis	conjunctivitis
H11	"other disorders of conjunctiva;pterygium;conjunctival degenerations and deposits;conjunctival scars;conjunctival haemorrhage;other conjunctival vascular disorders and cysts;other specified disorders of conjunctiva;disorder of conjunctiva, unspecified"	disorders of conjunctiva	disorders of conjunctiva
H13	disorders of conjunctiva in diseases classified elsewhere;filarial infection of conjunctiva;conjunctivitis in infectious and parasitic diseases classified elsewhere;conjunctivitis in other diseases classified elsewhere;ocular pemphigoid;other disorders of conjunctiva in diseases classified elsewhere	disorders of conjunctiva in diseases classified elsewhere	disorders of conjunctiva in diseases classified elsewhere
H15	"disorders of sclera;scleritis;episcleritis;other disorders of sclera;disorder of sclera, unspecified"	disorders of sclera	disorders of sclera
H16	"keratitis;corneal ulcer;other superficial keratitis without conjunctivitis;keratoconjunctivitis;interstitial and deep keratitis;corneal neovascularisation;other keratitis;keratitis, unspecified"	keratitis	keratitis
H17	"corneal scars and opacities;adherent leukoma;other central corneal opacity;other corneal scars and opacities;corneal scar and opacity, unspecified"	corneal scars and opacities	corneal scars and opacities
H18	"other disorders of cornea;corneal pigmentations and deposits;bullous keratopathy;other corneal oedema;changes in corneal membranes;corneal degeneration;hereditary corneal dystrophies;keratoconus;other corneal deformities;other specified disorders of cornea;disorder of cornea, unspecified"	disorders of cornea	disorders of cornea
H19	disorders of sclera and cornea in diseases classified elsewhere;scleritis and episcleritis in diseases classified elsewhere;herpesviral keratitis and keratoconjunctivitis;keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere;keratitis and keratoconjunctivitis in other diseases classified elsewhere;other disorders of sclera and cornea in diseases classified elsewhere	disorders of sclera and cornea in diseases classified elsewhere	disorders of sclera and cornea in diseases classified elsewhere
H20	"iridocyclitis;acute and subacute iridocyclitis;chronic iridocyclitis;lens-induced iridocyclitis;other iridocyclitis;iridocyclitis, unspecified"	iridocyclitis	iridocyclitis
H21	"other disorders of iris and ciliary body;hyphaema;other vascular disorders of iris and ciliary body;degeneration of iris and ciliary body;cyst of iris, ciliary body and anterior chamber;pupillary membranes;other adhesions and disruptions of iris and ciliary body;other specified disorders of iris and ciliary body;disorder of iris and ciliary body, unspecified"	disorders of iris and ciliary body	disorders of iris and ciliary body
H22	disorders of iris and ciliary body in diseases classified elsewhere;iridocyclitis in infectious and parasitic diseases classified elsewhere;iridocyclitis in other diseases classified elsewhere;other disorders of iris and ciliary body in diseases classified elsewhere	disorders of iris and ciliary body in diseases classified elsewhere	disorders of iris and ciliary body in diseases classified elsewhere
H25	"senile cataract;senile incipient cataract;senile nuclear cataract;senile cataract, morgagnian type;other senile cataract;senile cataract, unspecified"	senile cataract	senile cataract
H26	"other cataract;infantile, juvenile and presenile cataract;traumatic cataract;complicated cataract;drug-induced cataract;after-cataract;other specified cataract;cataract, unspecified"	cataract	cataract
H27	"other disorders of lens;aphakia;dislocation of lens;other specified disorders of lens;disorder of lens, unspecified"	disorders of lens	disorders of lens
H28	"cataract and other disorders of lens in diseases classified elsewhere;diabetic cataract;cataract in other endocrine, nutritional and metabolic diseases;cataract in other diseases classified elsewhere;other disorders of lens in diseases classified elsewhere"	cataract and disorders of lens in diseases classified elsewhere	cataract and disorders of lens in diseases classified elsewhere
H30	"chorioretinal inflammation;focal chorioretinal inflammation;disseminated chorioretinal inflammation;posterior cyclitis;other chorioretinal inflammations;chorioretinal inflammation, unspecified"	chorioretinal inflammation	chorioretinal inflammation
H31	"other disorders of choroid;chorioretinal scars;choroidal degeneration;hereditary choroidal dystrophy;choroidal haemorrhage and rupture;choroidal detachment;other specified disorders of choroid;disorder of choroid, unspecified"	disorders of choroid	disorders of choroid
H32	chorioretinal disorders in diseases classified elsewhere;chorioretinal inflammation in infectious and parasitic diseases classified elsewhere;other chorioretinal disorders in diseases classified elsewhere	chorioretinal disorders in diseases classified elsewhere	chorioretinal disorders in diseases classified elsewhere
H33	retinal detachments and breaks;retinal detachment with retinal break;retinoschisis and retinal cysts;serous retinal detachment;retinal breaks without detachment;traction detachment of retina;other retinal detachments	retinal detachments and breaks	retinal detachments and breaks
H34	"retinal vascular occlusions;transient retinal artery occlusion;central retinal artery occlusion;other retinal artery occlusions;other retinal vascular occlusions;retinal vascular occlusion, unspecified"	retinal vascular occlusions	retinal vascular occlusions
H35	"other retinal disorders;background retinopathy and retinal vascular changes;retinopathy of prematurity;other proliferative retinopathy;degeneration of macula and posterior pole;peripheral retinal degeneration;hereditary retinal dystrophy;retinal haemorrhage;separation of retinal layers;other specified retinal disorders;retinal disorder, unspecified"	retinal disorders	retinal disorders
H36	retinal disorders in diseases classified elsewhere;diabetic retinopathy;other retinal disorders in diseases classified elsewhere	retinal disorders in diseases classified elsewhere	retinal disorders in diseases classified elsewhere
H40	"glaucoma;glaucoma suspect;primary open-angle glaucoma;primary angle-closure glaucoma;glaucoma secondary to eye trauma;glaucoma secondary to eye inflammation;glaucoma secondary to other eye disorders;glaucoma secondary to drugs;other glaucoma;glaucoma, unspecified"	glaucoma	glaucoma
H42	"glaucoma in diseases classified elsewhere;glaucoma in endocrine, nutritional and metabolic diseases;glaucoma in other diseases classified elsewhere"	glaucoma in diseases classified elsewhere	glaucoma in diseases classified elsewhere
H43	"disorders of vitreous body;vitreous prolapse;vitreous haemorrhage;crystalline deposits in vitreous body;other vitreous opacities;other disorders of vitreous body;disorder of vitreous body, unspecified"	disorders of vitreous body	disorders of vitreous body
H44	"disorders of globe;purulent endophthalmitis;other endophthalmitis;degenerative myopia;other degenerative disorders of globe;hypotony of eye;degenerated conditions of globe;retained (old) intraocular foreign body, magnetic;retained (old) intraocular foreign body, nonmagnetic;other disorders of globe;disorder of globe, unspecified"	disorders of globe	disorders of globe
H45	disorders of vitreous body and globe in diseases classified elsewhere;vitreous haemorrhage in diseases classified elsewhere;endophthalmitis in diseases classified elsewhere;other disorders of vitreous body and globe in diseases classified elsewhere	disorders of vitreous body and globe in diseases classified elsewhere	disorders of vitreous body and globe in diseases classified elsewhere
H46	optic neuritis	optic neuritis	optic neuritis
H47	"other disorders of optic [2nd] nerve and visual pathways;disorders of optic nerve, not elsewhere classified;papilloedema, unspecified;optic atrophy;other disorders of optic disk;disorders of optic chiasm;disorders of other visual pathways;disorders of visual cortex;disorder of visual pathways, unspecified"	disorders of optic [2nd] nerve and visual pathways	disorders of optic [2nd] nerve and visual pathways
H48	disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere;optic atrophy in diseases classified elsewhere;retrobulbar neuritis in diseases classified elsewhere;other disorders of optic nerve and visual pathways in diseases classified elsewhere	disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere	disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere
H49	"paralytic strabismus;third [oculomotor] nerve palsy;fourth [trochlear] nerve palsy;sixth [abducent] nerve palsy;total (external) ophthalmoplegia;progressive external ophthalmoplegia;other paralytic strabismus;paralytic strabismus, unspecified"	paralytic strabismus	paralytic strabismus
H50	"other strabismus;convergent concomitant strabismus;divergent concomitant strabismus;vertical strabismus;intermittent heterotropia;other and unspecified heterotropia;heterophoria;mechanical strabismus;other specified strabismus;strabismus, unspecified"	strabismus	strabismus
H51	"other disorders of binocular movement;palsy of conjugate gaze;convergence insufficiency and excess;internuclear ophthalmoplegia;other specified disorders of binocular movement;disorder of binocular movement, unspecified"	disorders of binocular movement	disorders of binocular movement
H52	"disorders of refraction and accommodation;hypermetropia;myopia;astigmatism;anisometropia and aniseikonia;presbyopia;disorders of accommodation;other disorders of refraction;disorder of refraction, unspecified"	disorders of refraction and accommodation	disorders of refraction and accommodation
H53	"visual disturbances;amblyopia ex anopsia;subjective visual disturbances;diplopia;other disorders of binocular vision;visual field defects;colour vision deficiencies;night blindness;other visual disturbances;visual disturbance, unspecified"	visual disturbances	visual disturbances
H54	"blindness and low vision;blindness, both eyes;blindness, one eye, low vision, other eye;low vision, both eyes;unqualified visual loss, both eyes;blindness, one eye;low vision, one eye;unqualified visual loss, one eye;unspecified visual loss;unspecified visual impairment (binocular)"	blindness and low vision	blindness and low vision
H55	nystagmus and other irregular eye movements	nystagmus and irregular eye movements	nystagmus and irregular eye movements
H57	"other disorders of eye and adnexa;anomalies of pupillary function;ocular pain;other specified disorders of eye and adnexa;disorder of eye and adnexa, unspecified"	disorders of eye and adnexa	disorders of eye and adnexa
H58	other disorders of eye and adnexa in diseases classified elsewhere;anomalies of pupillary function in diseases classified elsewhere;visual disturbances in diseases classified elsewhere;other specified disorders of eye and adnexa in diseases classified elsewhere	disorders of eye and adnexa in diseases classified elsewhere	disorders of eye and adnexa in diseases classified elsewhere
H59	"postprocedural disorders of eye and adnexa, not elsewhere classified;vitreous syndrome following cataract surgery;other postprocedural disorders of eye and adnexa;postprocedural disorder of eye and adnexa, unspecified"	postprocedural disorders of eye and adnexa	postprocedural disorders of eye and adnexa
H60	"otitis externa;abscess of external ear;cellulitis of external ear;malignant otitis externa;other infective otitis externa;cholesteatoma of external ear;acute otitis externa, non-infective;other otitis externa;otitis externa, unspecified"	otitis externa	otitis externa
H61	"other disorders of external ear;perichondritis of external ear;non-infective disorders of pinna;impacted cerumen;acquired stenosis of external ear canal;other specified disorders of external ear;disorder of external ear, unspecified"	disorders of external ear	disorders of external ear
H62	disorders of external ear in diseases classified elsewhere;otitis externa in bacterial diseases classified elsewhere;otitis externa in viral diseases classified elsewhere;otitis externa in mycoses;otitis externa in other infectious and parasitic diseases classified elsewhere;otitis externa in other diseases classified elsewhere;other disorders of external ear in diseases classified elsewhere	disorders of external ear in diseases classified elsewhere	disorders of external ear in diseases classified elsewhere
H65	"nonsuppurative otitis media;acute serous otitis media;other acute nonsuppurative otitis media;chronic serous otitis media;chronic mucoid otitis media;other chronic nonsuppurative otitis media;nonsuppurative otitis media, unspecified"	nonsuppurative otitis media	nonsuppurative otitis media
